test	name	text	postcode
2TH2W8	Hornchurch Jobcentre	Pioneer House, North Street, Hornchurch, Essex, East London	RM11 1QZ
B2FSG	Fareham Jobcentre	Crown Buildings, Civic Way, Fareham, Hampshire, Hampshire and Isle of Wight	PO16 7HR
2AMHQG	Selby Jobcentre	Flaxley Chambers, Flaxley Road, Selby, North Yorkshire, North East Yorkshire and the Humber	YO8 3BH
2W0AXK	Sheffield Hillsborough Jobcentre	Hillsborough Barracks, Cavalry & Lancer Court, 639-641 Penistone Road, Sheffield, South Yorkshire, South Yorkshire	S6 2GG
2S488Q	Haverhill Jobcentre	65 High Street, Haverhill, Cambridgeshire, East Anglia	CB9 8AH
E0R9H	Machynlleth Jobcentre	43-45 Maen Gwyn Street, Machynlleth, Powys, North and Mid Wales	SY20 8EB
2EFXAR	Croydon Jobcentre	17-21 Dingwall Road, Croydon, Surrey, South London	CR9 2TN
K3WGA	Barnsley Jobcentre	Cooper House, 59 Peel Street, Barnsley, South Yorkshire, South Yorkshire	S70 2RL
604C3	Sheffield Bailey Court Jobcentre	Bailey Court, 112 West Street, Sheffield, South Yorkshire, South Yorkshire	S1 3SY
1J45RX	Goole Jobcentre	Mulberry House, North Street, Goole, East Yorkshire, North East Yorkshire and the Humber	DN14 5QB
1Y5MSX	Sudbury Jobcentre	21 Borehamgate Precinct, Sudbury, Suffolk, East Anglia	CO10 2EG
2F540Q	Bathgate Jobcentre	Government Buildings, 31-33 Whitburn Road, Bathgate, West Lothian, East and South East of Scotland	EH48 1HG
1FKSTD	Slough Upton Lodge Jobcentre	Upton Lodge, 2A Yew Tree Road, Slough, Berkshire, Thames Valley	SL1 2AQ
2DA6SX	Minehead Jobcentre	17 The Avenue, Minehead, Somerset, Wessex	TA24 5XZ
1VDVWP	Coventry Cofa Court Jobcentre	Cofa Court, Cheylesmore, Coventry, West Midlands, Mercia	CV1 2HJ
2P95JJ	Berwick Jobcentre	Norham House, 15 Walkergate, Berwick-upon-Tweed, Northumberland, Tyne & Wear	TD15 1DS
15P77Q	Kennington Park Jobcentre	206-210 Kennington Park Road, Kennington, London, South London	SE11 4DE
2Z6A0B	Chorley Jobcentre	Hamilton Road, Chorley, Lancashire, Cumbria and Lancashire	PR7 2HB
249WK0	Stirling Jobcentre	South Lodge, 2 St. Ninians Road, Stirling, Stirlingshire, East and South East of Scotland	FK8 2HF
12QYCK	Newcastle East Jobcentre	Coquet House, Clifford Street, Byker, Newcastle Upon Tyne, Tyne and Wear, Tyne & Wear	NE6 1PH
7AT6C	Invergordon Jobcentre	43 High Street, Invergordon, Invernesshire, North Scotland	IV18 0DG
2X4HWR	Mildenhall Jobcentre	Forrest Heath District Council, College Heath Road, Mildenhall, East Anglia, Cambridgeshire and Suffolk	IP28 7EY
EAQHM	St Marylebone Jobcentre	46 Lisson Grove, London, North London	NW1 6TZ
1BZTT3	Braintree Jobcentre	The Old Post Office, Fairfield Road, Braintree, Essex, Essex	CM7 3HA
1YG1DM	Chester- le- Street Jobcentre	Crown Buildings, Station Road, Chester Le Street, County Durham, Durham, Tees Valley	DH3 3AB
26TQ7E	Skelmersdale Jobcentre	Whelmar House, Southway, Skelmersdale, Lancashire, Cumbria and Lancashire	WN8 6NT
M3064	Neath Jobcentre	1 Windsor Road, Neath, West Glamorgan, South West Wales	SA11 1LY
1ESSJ3	Paisley Jobcentre	49A High Street, Paisley, Renfrewshire, West Scotland	PA1 2AN
1EHW45	Cromer Jobcentre	Garden Street, Cromer, Norfolk, East Anglia	NR27 9HN
PBH8E	Retford Jobcentre	23a Grove Street, Retford, Nottinghamshire, Nottinghamshire, Lincolnshire and Rutland	DN22 6JR
APD51	Ormskirk Jobcentre	31A Church Street, Ormskirk, Merseyside, Cumbria and Lancashire	L39 3QT
K5Y61	Shotton Jobcentre	Civic Centre, Wepre Drive, Connahs Quay, Flintshire, North and Mid Wales	CH5 4HA
732JB	Canvey Island Jobcentre	140 Furtherwick Road, Canvey Island, Essex, Essex	SS8 7AL
1ZX82S	Gateshead Jobcentre	Shildon House, High Street, Gateshead, Tyne and Wear, Tyne & Wear	NE8 1AS
2SBEYC	Whitstable Jobcentre	13 High Street, Whitstable, Kent, Kent	CT5 1AP
2S3WJQ	Penzance Jobcentre	Branwell House, Clarence Street, Penzance, Cornwall, Devon and Cornwall	TR18 2NP
2026H2	Fakenham Jobcentre	Government Buildings, Norwich Road, Fakenham, Norfolk, East Anglia	NR21 8HJ
8HJQZ	Wolverhampton Molineux House Jobcentre	Molineux House, Temple Street, Wolverhampton, West Midlands, Black Country	WV2 4AU
2Q3FVZ	Ashington Jobcentre	Reiverdale House, Reiverdale Road, Ashington, Northumberland, Tyne & Wear	NE63 9YY
2J08F5	Cramlington Jobcentre	17-19 Dudley Court, East Square, Cramlington, Northumberland, Tyne & Wear	NE23 6QW
296B21	Bedlington Jobcentre	Longridge House, Front Street West, Bedlington, Northumberland, Tyne & Wear	NE22 5TL
15R3S7	Bude Jobcentre	Summerleaze Crescent, Bude, Cornwall, Devon and Cornwall	EX23 8BT
2KG0VA	Newton Le Willows Jobcentre	13-15 Market Street, Earlestown, Newton le Willows, Merseyside, Merseyside	WA12 9BQ
QF0ER	Sheffield Eastern Avenue Jobcentre	19 Eastern Avenue, Sheffield, South Yorkshire, South Yorkshire	S2 2FZ
2SE3V4	Wisbech Jobcentre	Albion House, Albion Place, Wisbech, Cambridgeshire, East Anglia	PE13 1AN
HYD0F	Truro Jobcentre	Pydar House, Pydar Street, Truro, Cornwall, Devon and Cornwall	TR1 2PU
984ZE	Spennymoor Jobcentre	Barnfield Road, Spennymoor, County Durham, Durham, Tees Valley	DL16 6ND
2ETB13	Sheerness Jobcentre	3 Millennium Way, Sheerness, Kent, Kent	ME12 1PD
2AC9W4	Woodhouse Jobcentre	Prospect House, Market Street, Woodhouse, Sheffield, South Yorkshire, South Yorkshire	S13 7QX
1QYF9Q	Bedford Jobcentre	Wyvern House, Bromham Road, Bedford, Bedfordshire, Bedfordshire and Hertfordshire	MK40 2EH
1X5T41	Carmarthen Jobcentre	John Street, Carmarthen, Carmarthenshire, South West Wales	SA31 1QT
2FPRF4	Bournemouth Jobcentre	Tamarisk House, 1 Cotlands Road, Bournemouth, Dorset, Wessex	BH1 3BG
27Q37E	Honiton Jobcentre	128 High Street, Honiton, Devon, Devon and Cornwall	EX14 1JP
21JDDE	St Andrews Jobcentre	187 South Street, St Andrews, Fife, East and South East of Scotland	KY16 9EE
2RK42T	Worthing Jobcentre	Crown House, High Street, Worthing, West Sussex, Surrey and Sussex	BN11 1NG
NC0H8	Bradford Westfield House Jobcentre	Westfield House, 85 Manningham Lane, Bradford, West Yorkshire, West Yorkshire	BD1 3BE
1GCM60	Kilbirnie Jobcentre	Walker Street, Kilbirnie, Ayrshire, West Scotland	KA25 6HL
1KYW1V	Perry Barr Jobcentre	Meridian House, 115 Aston Lane, Perry Barr, Birmingham, West Midlands, Birmingham and Solihull	B20 3BW
10JYPS	Whitby Jobcentre	6 Bobbies Bank, Whitby, North Yorkshire, North East Yorkshire and the Humber	YO21 1QZ
2JXSMF	Stalybridge Jobcentre	15 Waterloo Road, Stalybridge, Greater Manchester, Greater Manchester East and West	SK15 2AX
VS406	Cardigan Jobcentre	Crown Buildings, Napier Street, Cardigan, Ceredigion, South West Wales	SA43 1EF
1T98FA	Sheffield Chambers Court Jobcentre	1b Station Road, Chapeltown, Sheffield, South Yorkshire, South Yorkshire	S35 2XE
2JX3PK	Nelson Jobcentre	14-16 Netherfield Road, Nelson, Lancashire, Cumbria and Lancashire	BB9 9AW
4FRHD	Broxburn Jobcentre	97 East Main Street, Broxburn, West Lothian, East and South East of Scotland	EH52 5EE
1PFZRP	Evesham Jobcentre	Abbey Road, Evesham, Worcestershire, Mercia	WR11 4SB
GSRDD	Goldthorpe Jobcentre	High Street, Goldthorpe, Rotherham, South Yorkshire, South Yorkshire	S63 9LQ
V168N	Bexhill Jobcentre	Amherst Road, Bexhill, East Sussex, Berkshire, Surrey and Sussex	TN40 1QH
29R1BN	Leamington Spa Jobcentre	Brandon House, Holly Walk, Leamington Spa, Warwickshire, Mercia	CV32 4JE
N9V55	Norwich Jobcentre	Kiln House, Pottergate, Norwich, Norfolk, East Anglia	NR2 1BZ
1VKQ7R	Grangemouth Jobcentre	13-15 Charlotte Dundas Court, Grangemouth, Stirlingshire, East and South East of Scotland	FK3 9EA
25DHS5	Bristol, Bishopsworth Jobcentre	59 Whitchurch Lane, Bishopsworth, Bristol, South Gloucestershire, Gloucester & West of England	BS13 7TE
206EFZ	Nuneaton Jobcentre	Mill House, Mill Walk, Nuneaton, Warwickshire, Mercia	CV11 4DL
2FYJHT	Shipley Jobcentre	Wainman Street, Shipley, West Yorkshire, West Yorkshire	BD17 7DN
1FRVV	Cambridge Jobcentre	Henry Giles House, 73-79 Chesterton Road, Cambridge, Cambridgeshire, East Anglia	CB4 3BQ
FA6DE	Bridport Jobcentre	1 West Street, Bridport, Dorset, Wessex	DT6 3QJ
1R6F6V	Stockport Jobcentre	Heron House, Wellington Street, Stockport, Cheshire, Greater Manchester East and West	SK1 3BE
2KQKC6	Northampton Jobcentre	Frances House, 21 Lower Mounts, Northampton, Northamptonshire, Leicestershire and Northamptonshire	NN1 3LY
29KA48	Boston Jobcentre	Crown House, Lincoln Lane, Boston, Lincolnshire, Nottinghamshire, Lincolnshire and Rutland	PE21 8SJ
2M479A	Kendal Jobcentre	Kentmere House, 1 Blackhall Road, Kendal, Cumbria, Cumbria and Lancashire	LA9 4BS
25XM5E	Llandrindod Wells Jobcentre	The Automobile Palace, Princes Avenue, Llandrindod Wells, Powys, North and Mid Wales	LD1 5HU
79JPG	Chorlton Jobcentre	Graeme House, Chorlton Square, Wilbraham Road, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M21 9BU
1FHXFF	Porthmadog Jobcentre	Thedford House, High Street, Porthmadog, Gwynedd, North and Mid Wales	LL49 9LS
R8P2Q	Kettering Jobcentre	Derbyshire House, Lower Street, Kettering, Northamptonshire, Leicestershire and Northamptonshire	NN16 8BG
1BC6FS	Weston-Super-Mare Jobcentre	Regent House, High Street, Weston-super-Mare, North Somerset, Gloucester & West of England	BS23 1JH
HM5A	St Annes Jobcentre	Westmorland House, 29-31 Orchard Road, Lytham St. Annes, Lancashire, Cumbria and Lancashire	FY8 1YS
2HE1AY	Bromsgrove Jobcentre	Church Fields, Bromsgrove, Worcestershire, Mercia	B61 8DX
NYVY1	Blackwood Jobcentre	75-77 High Street, Blackwood, Gwent, South East Wales	NP12 1YY
1B5V8G	Oswestry Jobcentre	27 Oswald Road, Oswestry, Shropshire, Staffordshire and Shropshire	SY11 1DZ
SVWSE	Beeston Jobcentre	3 Arcacia Walk, Beeston, Nottingham, Nottinghamshire, Nottinghamshire, Lincolnshire and Rutland	NG9 2LW
1AV7F	Penryn Jobcentre	Penmarin House, Commercial Road, Penryn, Cornwall, Devon and Cornwall	TR10 8SB
D6D0E	Walthamstow Jobcentre	7-13 Westbury Road, Walthamstow, London, East London	E17 6RH
19BH9E	Morecambe Jobcentre	Heron House, 67 Queen Street, Morecambe, Lancashire, Cumbria and Lancashire	LA4 5HW
22RVM6	Lincoln Orchard Street Jobcentre	Lancaster House, 36 Orchard Street, Lincoln, Lincolnshire, Lincolnshire, Nottinghamshire and Rutland	LN1 1YZ
HXFC0	Grantham Jobcentre	Crown House, 49A Castlegate, Grantham, Lincolnshire, Nottinghamshire, Lincolnshire and Rutland	NG31 6SY
2RXQFC	Aberystwyth Jobcentre	Alexandra Road, Aberystwyth, Ceredigion, South West Wales	SY23 1LA
17NP5V	Caldicot Jobcentre	66 Newport Road, Caldicot, Gwent, South East Wales	NP26 4BR
1ANWCC	South Leeds Jobcentre (Hunslet)	63 Whitfield Gardens, Hunslet, Leeds, West Yorkshire, West Yorkshire	LS10 2QD
1W3WD4	Eston Jobcentre	Hadrian House, 81 High Street, Eston, Cleveland, Durham, Tees Valley	TS6 9EH
20YX97	Newcastle City Jobcentre	Cathedral Square, Mosley Street, Cloth Market, Newcastle Upon Tyne, Tyne and Wear, Tyne & Wear	NE1 1EE
24QKQ9	Ely Jobcentre	52 Market Street, Ely, Cambridgeshire, East Anglia	CB7 4LU
J6QW	Hamilton Jobcentre	Cameronian House, Almada Street, Hamilton, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	ML3 0EH
2S3KK1	Devonport Jobcentre	Queens House, St Levans Road, Plymouth, Devon, Devon and Cornwall	PL2 3BD
H7AGB	High Wycombe Jobcentre	Aria House, 80 Oxford Road, High Wycombe, Buckinghamshire, Thames Valley	HP11 2DN
8SF6B	Bristol, Kingswood Jobcentre	382-386 Two Mile Hill Road, Kingswood, Bristol, Avon, Gloucester & West of England	BS15 1BZ
1NHG17	Tottenham Jobcentre	640-656 High Road, Tottenham, London, North London	N17 0AA
2XFN0Q	Heywood Jobcentre	Taylor Street, Heywood, Lancashire, Greater Manchester East and West	OL10 1ED
265F6W	Caernarfon Jobcentre	Governments Buildings, Penrallt, Caernarfon, Gwynedd, North and Mid Wales	LL55 2HN
QFCB	Belle Vale Jobcentre	New Crown Building, 302 Childwall Valley Road, Belle Vale, Liverpool, Merseyside, Merseyside	L25 2UF
1ABM37	Elgin Jobcentre	13-21 Trinity Road, Elgin, Morayshire, North Scotland	IV30 1RJ
8CFP8	Swansea Jobcentre	37-38 High Street, Swansea, West Glamorgan, South West Wales	SA1 1LS
2S6EYF	Parkhead Jobcentre	1181 Duke Street, Parkhead, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G31 5NW
1HMKB9	Southport Jobcentre	Eastbank House, Eastbank Street, Southport, Merseyside, Merseyside	PR8 1HF
2TN1CH	Shirebrook Jobcentre	Victoria Street / 233 Station Road, Shirebrook, Nottinghamshire, Derbyshire	NG20 8AF
12V5Z9	Garston Jobcentre	Speke Road, Garston, Liverpool, Merseyside, Merseyside	L19 2JZ
11051X	Lancaster Jobcentre	Mitre House, Church Street, Lancaster, Lancashire, Cumbria and Lancashire	LA1 1JW
