test	name	text	postcode
1SJ89B	Pudsey Jobcentre (Leeds Century House)	Century House, Church Lane, Leeds, West Yorkshire, West Yorkshire	LS28 7RQ
20FHD7	Cheetham Hill Jobcentre	36 Crescent Road, Cheetham Hill, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M8 9DQ
2MK13W	Seacroft Jobcentre	Parkway House, North Parkway, Seacroft, Leeds, West Yorkshire, West Yorkshire	LS14 6UZ
68T83	Salford Jobcentre	2 Paddington Close, Salford, Lancashire, Lancashire	M6 5PL
16ZWKH	Clacton Jobcentre	55 Station Road, Clacton on Sea, Essex, Essex	CO15 1RS
1T3TEC	Whitehaven Jobcentre	The Council Offices, The Copeland Centre, Catherine Street, Whitehaven, Cumbria, Cumbria and Lancashire	CA28 7SJ
2XRYEJ	Kingís Lynn Jobcentre	Lovell House, St. Nicholas Street, Kings Lynn, Norfolk, East Anglia	PE30 1LR
RSVW1	Haverfordwest Jobcentre	16-20 Quay Street, Haverfordwest, Pembrokeshire, South West Wales	SA61 1BH
28AZBS	Great Yarmouth Jobcentre	Copperfield House, The Conge, Great Yarmouth, Norfolk, East Anglia	NR30 1EJ
3G3H0	Clay Cross Jobcentre	Bridge Street, Clay Cross, Derbyshire, Derbyshire	S45 9EF
DS0XR	Leeds Eastgate Jobcentre	35 Eastgate, Leeds, West Yorkshire, West Yorkshire	LS2 7RE
2DV1CC	Heanor Jobcentre	High Street, Heanor, Derbyshire, Derbyshire	DE75 7EZ
1DY6AE	Bradford Eastbrook Court Jobcentre	50 Vicar Lane, Bradford, West Yorkshire, West Yorkshire	BD1 5AH
1AAVH2	Rutherglen Jobcentre	3 MacDonald Street, Rutherglen, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G73 2QW
21BA94	Cardiff Alexandra House Jobcentre	Alexandra House, 377 Cowbridge Road, Cardiff, South Glamorgan, South East Wales	CF5 1WU
F7PHV	Romford Jobcentre	Crown House, 30 Main Road, Romford, Essex, East London	RM1 3HH
252KBS	Blaydon Jobcentre	St Cuthberts Way, Blaydon, Tyne and Wear, Tyne & Wear	NE21 5AD
1DCGMN	Staveley Jobcentre	Devonshire Buildings, Duke Street, Staveley, Derbyshire, Derbyshire	S43 3NU
1H04D9	Bangor Jobcentre	322-330 High Street, Bangor, Gwynedd, North and Mid Wales	LL57 1YA
2JPKHC	Bridgwater Jobcentre	Hanover House, Northgate, Bridgwater, Somerset, Wessex	TA6 3HJ
18513M	Maryhill Jobcentre	1460-1470 Maryhill Road, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G20 9DH
2RH5MC	Stretford Jobcentre	Arndale House, Chester Road, Stretford, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M32 9ED
HDJDA	Milford Haven Jobcentre	Cedar Court, Milford Haven, Pembrokeshire, South West Wales	SA73 3LS
1EWVD2	Jarrow Jobcentre	56-64 Ellison Street, Jarrow, Tyne and Wear, Tyne & Wear	NE32 3BX
HMA3W	Bodmin Jobcentre	71A Fore Street, Bodmin, Cornwall, Devon and Cornwall	PL31 2JB
2KEANP	Twickenham Jobcentre	Chatsworth House, 59-63 London Road, Twickenham, Middlesex, West London	TW1 3SZ
VMGB0	Workington Jobcentre	Simon House, 197-199 Vulcans Lane, Workington, Cumbria, Cumbria and Lancashire	CA14 2BW
1ZRA3A	Littlehampton Jobcentre	Crown Building, 33 Church Street, Littlehampton, West Sussex, Surrey and Sussex	BN17 5ER
2SC909	Uxbridge Jobcentre	Uxbridge Pavilions, Units 22-26 Market Square, Uxbridge, Middlesex, Greater London	UB8 1LH
2V946F	Dunfermline Jobcentre	Merchiston House, Foundry Street, Dunfermline, Fife, East and South East of Scotland	KY12 9DF
27H1G7	Ramsgate Jobcentre	Queens House, Queens Street, Ramsgate, Kent, Kent	CT11 9EW
2M60QT	Irlam Jobcentre	Irlam Library, Liverpool Road, Irlam, Manchester, Lancashire	M44 6FD
21GN8	Blackburn Jobcentre	Orchard House, Penny Street, Blackburn, Lancashire, Cumbria and Lancashire	BB1 6HA
1WTHAQ	Yardley Jobcentre	1630 Coventry Road, Yardley, Birmingham, West Midlands, Birmingham and Solihull	B26 1AW
1K9NCB	Margate Jobcentre	Mill House, West Wing, Mill Lane, Margate, Kent, Kent	CT9 1LB
2AK775	London Bridge Jobcentre	Coburg House, 63-67 Newtington Causeway, London, South London	SE1 6LS
137HA0	Grimsby Bridge House Jobcentre	Bridge House, 225 Victoria Street, Grimsby, Lincolnshire, North East Yorkshire and the Humber	DN31 1NH
1ES0CJ	Darlington Jobcentre	Bondgate House, 90 Bondgate, Darlington, County Durham, Durham, Tees Valley	DL3 7JY
1YQKW6	Handsworth Jobcentre	Temple Row House, 25-45 Soho Road, Handsworth, Birmingham, West Midlands, Birmingham and Solihull	B21 9SL
14YSKY	Huntingdon Jobcentre	2-6 Hartford Road, Huntingdon, Cambridgeshire, East Anglia	PE29 3PB
QZ4CF	Aintree Jobcentre	70 Walton Vale, Aintree, Liverpool, Merseyside, Merseyside	L9 2BU
2YVBHB	Warrington Jobcentre	Nolan House, 10 Mersey Street, Warrington, Cheshire, Greater Manchester Central & Cheshire Community	WA1 2BL
214KK6	Watford Jobcentre	Exchange House, 60 Exchange Road, Watford, Hertfordshire, Bedfordshire and Hertfordshire	WD18 0JJ
SNN57	Stockwell Jobcentre	155-157 Clapham Road, Stockwell, London, South London	SW9 0QQ
2JZCT0	Bootle Jobcentre	218 Stanley Road, Bootle, Merseyside, Merseyside	L20 3PN
2E95GD	Waltham Cross Jobcentre	235 High Street, Waltham Cross, Hertfordshire, Bedfordshire and Hertfordshire	EN8 7BA
42T3	Cannock Jobcentre	Government Buildings, Beecroft Road, Cannock, Staffordshire, Staffordshire and Shropshire	WS11 1JR
2RHABQ	Witham Jobcentre	2-3 Freebournes Court, Newland Street, Witham, Essex, Essex	CM8 2BL
AAA5S	Derby Forester House Jobcentre	Forester House, Becket Street, Derby, Derbyshire, Derbyshire	DE1 1NW
R51HV	Cowdenbeath Jobcentre	6 Pit Road, Cowdenbeath, Fife, East and South East of Scotland	KY4 9NQ
VAPKB	Rayleigh Jobcentre	10 London Hill, Rayleigh, Essex, Essex	SS6 7HR
2XJNKY	Barnstaple Jobcentre	Princess House, Queen Street, Barnstaple, Devon, Devon and Cornwall	EX32 8HD
JTRT4	Rotherham Chantry House Jobcentre	Chantry House, Douglas Street, Rotherham, South Yorkshire, South Yorkshire	S60 2DL
1VPC1M	Barking Jobcentre	Phoenix House, 12-14 Wakering Road, Barking, Essex, East London	IG11 8QB
2J9SR	Launceston Jobcentre	11 Tower Street, Launceston, Cornwall, Devon and Cornwall	PL15 8BQ
GBST8	Blackpool North Queen Street Jobcentre	43 Queen Street, Blackpool, Lancashire, Cumbria and Lancashire	FY1 1HQ
1KSK4R	Spen Valley Jobcentre	411 Bradford Road, Liversedge, West Yorkshire, West Yorkshire	WF15 6DD
5R5SK	Leith Jobcentre	199 Commercial Street, Leith, Edinburgh, Midlothian, East and South East of Scotland	EH6 6QP
7ADX4	Hexham Jobcentre	St. Andrew's House, Haugh Lane, Hexham, Northumberland, Tyne & Wear	NE46 3NF
2P276P	Blackpool South Jobcentre	Tyldesley Road, Blackpool, Lancashire, Cumbria and Lancashire	FY1 5DJ
1HRNAV	Colchester Jobcentre	40 Chapel Street South, Colchester, Essex, Essex	CO2 7AZ
4YYW9	Immingham Jobcentre	4-6 Kennedy Way, Immingham, North East Lincolnshire, North East Yorkshire and the Humber	DN40 2AE
2133JK	Merthyr Tydfil Jobcentre	Ty Bethesda, Av De Clichy, Merthyr Tydfil, Mid Glamorgan, South East Wales	CF47 8AS
2913SM	Rusholme Jobcentre	96 Wilmslow Road, Rusholme, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M14 5BJ
10C5T1	Clapham Common Jobcentre	Maritime House, Old Town, London, South London	SW4 0JW
15XM4R	Wrexham Jobcentre	Ty Maelor, 15-17 Grosvenor Road, Wrexham, Clywd, North and Mid Wales	LL11 1BW
CSFSV	Lerwick Jobcentre	Charlotte House, Commercial Road, Lerwick, Shetland, Highlands, Islands, Clyde Coast and Grampian	ZE1 0LQ
BQ5H0	Chatham Jobcentre	Crown House, The Brook, Chatham, Kent, Kent	ME4 4LQ
1HF8S1	Gorseinon Jobcentre	42-44 Lime Street, Gorseinon, Swansea, West Glamorgan, South West Wales	SA4 4EH
EFN3G	Epsom Jobcentre	50 East Street, Epsom, Surrey, Surrey and Sussex	KT17 1HQ
2PPNNS	Kirkby Jobcentre	St. Chad's House, St. Chad's Parade, Kirkby, Liverpool, Merseyside, Merseyside	L32 8RW
26YJ1S	Runcorn Andrew House Halton Lea Jobcentre	Andrew House, Halton Lea Shopping Centre, Runcorn, Cheshire, Merseyside	WA7 2FQ
1YAX04	Irvine Jobcentre	121-125 High Street, Irvine, Ayrshire, West Scotland	KA12 8AA
9NACK	Chesterfield Jobcentre	Markham House, Markham Road, Chesterfield, Derbyshire, Derbyshire	S40 1TG
SH0Q3	Mold Jobcentre	St. Davids Lane, Mold, Flintshire, North and Mid Wales	CH7 1LH
22T7Y5	Ipswich Jobcentre	St. Felix House, Silent Street, Ipswich, Suffolk, East Anglia	IP1 1TF
1Q3F5G	Morpeth Jobcentre	Fountain House, New Market, Morpeth, Northumberland, Tyne & Wear	NE61 1LA
2B6DQF	Trowbridge Jobcentre	Aplin House, Bythesea Road, Trowbridge, Wiltshire, Wessex	BA14 8XR
2ANVK9	Glenrothes Jobcentre	3 Postgate, Glenrothes, Fife, East and South East of Scotland	KY7 5LL
RM5S1	Loughton Jobcentre	284 High Road, Loughton, Essex, Essex	IG10 1RH
2VE3G	Willesden Jobcentre	Chancel House, Neasden Lane, London, West London	NW10 2XH
2JM146	Harwich Jobcentre	164-168 High Street, Dovercourt, Harwich, Essex, Essex	CO12 3AT
1HZB7F	Bolton Jobcentre	52 Blackhorse Street, Bolton, Lancashire, Greater Manchester East and West	BL1 1SX
2Q8491	Norris Green Jobcentre	150 Parthenon Drive, Norris Green, Liverpool, Merseyside, Merseyside	L11 5BN
2XA4CH	Aldershot Jobcentre	South Western House, Station Road, Aldershot, Hampshire, Hampshire and Isle of Wight	GU11 1HP
1MGK3V	Peterborough Jobcentre Plus	Clifton House, 84 Broadway, Peterborough, Cambridgeshire, East Anglia	PE1 1QZ
2W6YRZ	Highgate Jobcentre	1A Elthorne Road, Highgate Hill, London, North London	N19 4AL
1SCW83	Batley Jobcentre	26 Wellington Street, Batley, West Yorkshire, West Yorkshire	WF17 5HZ
2GAYXR	Stourbridge Jobcentre	Scotland House, 169 Lower High Street, Stourbridge, West Midlands, Black Country	DY8 1ES
2YZ565	Altrincham Jobcentre	Roberts House, 80 Manchester Road, Altrincham, Greater Manchester, Greater Manchester Central & Cheshire Community	WA14 4PU
27Y7R0	Tunbridge Wells Jobcentre	88 Grosvenor Road, Tunbridge Wells, Kent, Kent	TN1 2AX
19KERS	Huyton Jobcentre	Edendale House, Lathom Road, Huyton, Liverpool, Merseyside, Merseyside	L36 9XS
GEV84	Scarborough Albion House Jobcentre	Albion House, Northway, Scarborough, North Yorkshire, North East Yorkshire and the Humber	YO12 7AN
2J30P	Middlesbrough James Cook House Jobcentre	James Cook House, 79 Corporation Road, Middlesbrough, Teeside, Durham, Tees Valley	TS1 2BA
TT8MH	Holyhead Jobcentre	The Old Vicarage, Newry Street, Holyhead, Anglesey, North and Mid Wales	LL65 1DB
2GM3YH	Sittingbourne Roman House Jobcentre	Roman House, 9 Roman Square, Sittingbourne, Kent, Kent	ME10 4BP
1QB6V7	Leominster Jobcentre	Lion Court, New Street, Leominster, Herefordshire, Mercia	HR6 8JE
1P7FSF	Poplar Jobcentre	13 Dod Street, Poplar, London, East London	E14 7EP
2VC34E	Richmond Jobcentre	Victoria Road, Richmond, North Yorkshire, North East Yorkshire and the Humber	DL10 4AS
24GG87	Bromley Jobcentre	Unicorn House, Second Floor, 28 Elmfield Road, Bromley, Kent, South London	BR1 1NX
9STW8	Lanark Jobcentre	Atholl House, 55-57 Bannatyne Street, Lanark, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	ML11 7NR
2EZ78E	Southwick Jobcentre	Stoney Lane, Southwick, Sunderland, Tyne and Wear, Tyne & Wear	SR5 2JB
17WV3P	Dartford Jobcentre	61 Lowfield Street, Dartford, Kent, Kent	DA1 1JY
ETGZ4	Loughborough Jobcentre	2 Lemyngton Street, Loughborough, Leicestershire, Leicestershire and Northamptonshire	LE11 1UY
J9V2H	Leicester New Walk Jobcentre	2A New Walk, Leicester, Leicestershire, Leicestershire and Northamptonshire	LE1 6TF
1TQK57	Weybridge Jobcentre	Fortune House, 7 - 13 Monument Hill, Weybridge, Surrey, Surrey and Sussex	KT13 8RX
MKRD	Bristol, Easton Jobcentre	442-450 Stapleton Road, Eastville, Bristol, Avon, Gloucester & West of England	BS5 6NR
1PNC3A	Torquay Jobcentre	Regal House, Castle Circus, Torquay, Devon, Devon and Cornwall	TQ1 3JQ
17Z8YE	Hatfield Jobcentre	Black Horse House, 36 Salisbury Square, Hatfield, Hertfordshire, Bedfordshire and Hertfordshire	AL9 5AF
18M23G	Edinburgh City  Jobcentre(18 - 24)	11-13 South St. Andrew Street, Edinburgh, Midlothian, East and South East of Scotland	EH2 2BT
2XV5CG	Shettleston Jobcentre	955 Shettleston Road, Shettleston, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G32 7NY
2JMDA8	Llantrisant Jobcentre	17 Ely Valley Road, Talbot Green, Pontyclun, South Glamorgan, South West Wales	CF72 8AL
8FQ2J	Castleford Jobcentre	Centurion House, Bank Street, Castleford, West Yorkshire, West Yorkshire	WF10 1HY
2J610H	Saltcoats Jobcentre	13 Dockhead Street, Saltcoats, Ayrshire, West Scotland	KA21 5EZ
BFBNK	Leiston Jobcentre	Leiston Enterprise Centre, Eastlands Industrial Estate, Leiston, Suffolk, East Anglia	IP16 4US
1KRZ3B	Long Eaton Jobcentre	Fletcher Street, Long Eaton, Nottinghamshire, Derbyshire	NG10 1JU
13G8WN	Skipton Jobcentre	Cavendish House, Newmarket Street, Skipton, North Yorkshire, North East Yorkshire and the Humber	BD23 2HN
1YQECH	Hanley Jobcentre	91 Upper Huntbach Street, Hanley, Stoke on Trent, Staffordshire, Staffordshire and Shropshire	ST1 2BX
6M2N9	Newlands Jobcentre	8 Coustonholm Road, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G43 1SS
T854X	Stamford Jobcentre	13 St Johns Street, Stamford, Lincolnshire, Nottinghamshire, Lincolnshire and Rutland	PE9 2DB
2MWK8C	Easterhouse Jobcentre	40 Shandwick Street, Easterhouse, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G34 9DR
YHYXG	Wallasey Jobcentre	Dominick House, St. Albans Road, Wallasey, Wirral, Merseyside	CH44 5XY
2R47QZ	Williamson Square Jobcentre	20 Williamson Square, Liverpool, Merseyside, Merseyside	L1 1PW
38CJ2	Edmonton Jobcentre	112-118 Fore Street, Edmonton, London, North London	N18 2XA
24AV76	Didcot Jobcentre	130A The Broadway, Didcot, Oxfordshire, Thames Valley	OX11 8DB
18MJWY	Dudley Jobcentre	Alexander House, 32 Wolverhampton Street, Dudley, West Midlands, Black Country	DY1 1JR
271Q4T	Falkirk Jobcentre	Heron House, 10B Wellside Place, Falkirk, Stirlingshire, East and South East of Scotland	FK1 5SE
1PR60G	Abertillery Jobcentre	Portland Street, Abertillery, Gwent, South East Wales	NP13 1YG
1MM9N7	Ellesmere Port Jobcentre	1-3 Mercer Walk, Port Arcades Shopping Centre, Ellesmere Port, Cheshire, Greater Manchester Central & Cheshire Community	CH65 0AP
9GW5N	York Stonebow Jobcentre	Stonebow House, The Stonebow, York, North Yorkshire, North East Yorkshire and the Humber	YO1 7FB
JS5Q2	York Monkgate Jobcentre	11-17 Monkgate, York, North Yorkshire, North East Yorkshire and the Humber	YO31 7JZ
SZYNF	Bracknell Jobcentre	Fitzwilliam House, Skimped Hill, Bracknell, Berkshire, Thames Valley	RG12 1JX
MNXVM	Aylesbury Jobcentre	Sunley House, Oxford Road, Aylesbury, Buckinghamshire, Thames Valley	HP19 8EZ
1R92KQ	Stockton Jobcentre	Daryl House, Bridge Road, Stockton On Tees, Cleveland, Durham, Tees Valley	TS18 3BW
S695K	Hemsworth Jobcentre	Low Hall, Market Street, Hemsworth, Pontefract, West Yorkshire, West Yorkshire	WF9 4HP
2EJC71	Congleton Jobcentre	Wagg Street, Congleton, Cheshire, Greater Manchester Central & Cheshire Community	CW12 4BD
2TX5SQ	Ashton-U-Lyne Jobcentre	101 Old Street, Ashton-under-Lyme, Lancashire, Greater Manchester East and West	OL6 6BJ
1WZ6EW	Barrhead Jobcentre	20 Paisley Road, Barrhead, Glasgow, Lanarkshire, West Scotland	G78 1NF
RCT55	Bury Jobcentre	Silver Street, Bury, Lancashire, Greater Manchester East and West	BL9 0DP
5V4CJ	Bulwell Jobcentre	Sovereign House, Bulwell High Road, Bulwell, Nottingham, Nottinghamshire, Nottinghamshire, Lincolnshire and Rutland	NG6 8HX
E3KVZ	Hoylake Jobcentre	Town Hall Chambers, 1 The Quadrant, Hoylake, Wirral, Merseyside	CH47 2EE
386T2	Plymouth Old Tree Court Jobcentre	Sutton Harbour, Old Tree Court, 64 Exeter Street, Plymouth, Devon, Devon and Cornwall	PL4 0AJ
J1W2H	Leicester Wellington Street Jobcentre	60 Wellington Street, Leicester, Leicestershire, Leicestershire and Northamptonshire	LE1 6DS
4WGGS	Gravesend Jobcentre	44-46 The Grove, Gravesend, Kent, Kent	DA12 1DF
2231P6	Wandsworth Jobcentre	Jessica House, 191 Wandsworth High Street, Red Lion Square, London, West London	SW18 4LS
EFWP2	Edge Hill Jobcentre	Kinglake House, Shenstone Street, Liverpool, Merseyside, Merseyside	L7 3PF
72CTA	Kirkcaldy Jobcentre	5 Hunter Street, Kirkcaldy, Fife, East and South East of Scotland	KY1 1ED
A7HXP	Stranraer Jobcentre	12 St. John Street, Stranraer, Dumfries & Galloway, West Scotland	DG9 7EL
9QJCB	Wembley Jobcentre	6 St. Johns Road, Wembley, Middlesex, West London	HA9 7JD
2B8ZVY	Streatham Jobcentre	Crown House, Station Aproach, Streatham, London, South London	SW16 6HW
1RNC6B	Winchester Jobcentre	Citygate, 1-8 City Road, Winchester, Hampshire, Hampshire and Isle of Wight	SO23 8GA
J4TFN	Newport (IOW) Jobcentre	Broadlands House, Staplers Road, Newport, Isle of Wight, Hampshire, Hampshire and Isle of Wight	PO30 2HX
11GD9R	Crewe Jobcentre	Wellington House, 38-44 Delemere Street, Crewe, Cheshire, Greater Manchester Central & Cheshire Community	CW1 2JY
210WRJ	Ashford Jobcentre	International House, Dover Place, Ashford, Kent, Kent	TN23 1HT
1GE698	Doncaster Jobcentre	Crossgate House, Wood Street, Doncaster, South Yorkshire, South Yorkshire	DN1 3LL
VZM7J	Crosby Jobcentre	29 Hougoumont Avenue, Liverpool, Merseyside, Merseyside	L22 0PB
27F49Q	Toxteth Jobcentre	7 High Park Street, Toxteth, Liverpool, Merseyside, Merseyside	L8 8DY
PJZW8	Bideford Jobcentre	Northbank House, North Road, Bideford, Devon, Devon and Cornwall	EX39 2NR
2NT16B	Barnsbury Jobcentre (IKC)	1 Barnsbury Road, Islington, London, North London	N1 0EX
B0PGC	Hastings Jobcentre	Heron House, 149-159 London Road, St Leonards on Sea, Hastings, East Sussex, Surrey and Sussex	TN37 6LJ
58329	Girvan Jobcentre	Carrick Opportunities Centre, 20a Henrietta Street, Girvan, West Scotland	KA26 9AL
SC3BR	Wigan Jobcentre	Brocol House, 71 King Street, Wigan, Lancashire, Greater Manchester East and West	WN1 1EA
21S4X6	Cosham Jobcentre	Wynnstay House, 121 High Street, Cosham, Hampshire, Hampshire and Isle of Wight	PO6 3DR
1QCTBG	Anniesland Jobcentre	21 Herschell Street, Anniesland, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G13 1HT
2777KQ	Bridgeton Jobcentre	9 Muslin Street, Bridgeton, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G40 4AZ
1QMKAJ	Northallerton Jobcentre	Elder House, East Road, Northallerton, North Yorkshire, North East Yorkshire and the Humber	DL6 1NU
4NX0E	Kilburn Jobcentre	3 Cambridge Avenue, Kilburn, Kilburn, Middlesex, West London	NW6 5AH
ZZW2G	Fort William Jobcentre	Waverley House, High Street, Fort William, Invernesshire, North Scotland	PH33 6XX
2YKTX3	Leven Jobcentre	9 Waggon Road, Leven, Fife, East and South East of Scotland	KY8 4PT
TR0D3	Caerphilly Jobcentre	Castle Street, Caerphilly, Mid Glamorgan, South East Wales	CF83 1UA
FVPW8	St Albans Jobcentre	Beauver House, 6 Bricket Road, St. Albans, Hertfordshire, Bedfordshire and Hertfordshire	AL1 3JU
1XD72W	Grays Jobcentre	1 - 2 Derby Road, Grays, Essex, Essex	RM17 6QQ
6YGF7	Maidstone Jobcentre	County Gate 1, Staceys Street, Maidstone, Kent, Kent	ME14 1ST
2ARAWN	Weymouth Jobcentre	Westwey House, Westwey Road, Weymouth, Dorset, Wessex	DT4 8TG
139WQJ	Madeley Jobcentre	Church Street, Madeley, Telford, Shropshire, Staffordshire and Shropshire	TF7 5RH
1WP72X	Newbury Jobcentre	Cromwell House, 22 Oxford Street, Newbury, Berkshire, Thames Valley	RG14 1JB
1MK9EJ	Bromborough Jobcentre	Port Causeway House, 1 Port Causeway, Bromborough, Wirral, Merseyside	CH62 4TG
2M12BP	Amlwch Jobcentre	C/o Parys Training, Unit 2, Site 9, Amlwch Business Park, Amlwch	LL68 9BQ
2AR7HW	Musselburgh Jobcentre	North House, Eskmills Park, Station Road, Musselburgh, East Lothian, East and South East of Scotland	EH21 7DU
14MPZT	Cardiff Charles Street Jobcentre	64 Charles Street, Cardiff, South Glamorgan, South East Wales	CF10 2GS
FY6Z9	Woodbridge Jobcentre	59 The Thoroughfare, Woodbridge, Suffolk, East Anglia	IP12 1AJ
1JYQ5P	Wilmslow Jobcentre	Venture House, 46-52 Water Lane, Wilmslow, Cheshire, Greater Manchester Central & Cheshire Community	SK9 5AH
1TMDG0	Springburn Jobcentre	200 Atlas Road, Springburn, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G21 4DL
1PGZ02	Govan Jobcentre	779-787 Govan Road, Govan, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G51 3JY
14N86R	Pontypridd Jobcentre	Oldway House, Broadway, Pontypridd, Mid Glamorgan, South West Wales	CF37 4SP
1S26P9	Hawick Jobcentre	5-9 North Bridge Street, Hawick, Roxburghshire, East and South East of Scotland	TD9 9RH
AVZ15	Alloa Jobcentre	17 Mar Street, Alloa, Clackmannanshire, East and South East of Scotland	FK10 1LX
3XCZC	Langside Jobcentre	152-158 Battlefield Road, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G42 9JT
1KWXED	Newcastle under Lyme Jobcentre	Paradise Street, Newcastle-under-Lyme, Staffordshire, Staffordshire and Shropshire	ST5 1RS
6G1BP	Dewsbury Jobcentre	Crown Buildings, Rishworth Road, Dewsbury, West Yorkshire, West Yorkshire	WF12 8EF
18F81F	Guildford Jobcentre	Leys House, 86-88 Woodbridge Road, Guildford, Surrey, Surrey and Sussex	GU1 4QD
X57M9	Beccles Jobcentre	1-5 Hungate Court, Beccles, Norfolk, East Anglia	NR34 9TR
2DZW7A	Campbeltown Jobcentre	40 Hall Street, Campbeltown, Argyll, West Scotland	PA28 6BZ
10J91C	Bury St Edmunds Jobcentre	St. Andrews House, St. Andrews Street North, Bury St. Edmunds, Suffolk, East Anglia	IP33 1TT
2MFXVT	Bridgnorth Jobcentre	Severn Street, Lowtown, Bridgnorth, Shropshire, Staffordshire and Shropshire	WV15 6BP
TT903	Milton Keynes Southgate House Jobcentre	Southgate House (CPS), 499 Midsummer Boulevard, Milton Keynes, Buckinghamshire, Berkshire, Buckinghamshire and Oxfordshire	MK9 3BN
2DMC34	Llangefni Jobcentre	Government Buildings, Bridge Street, Llangefni, Anglesey, North and Mid Wales	LL77 7YJ
2H766H	Aberdeen Ebury Jobcentre	Ebury House, 14 Dee Street, Aberdeen, Aberdeenshire, North Scotland	AB11 6DR
19W62G	Bishop Auckland Jobcentre	35 Market Place, Bishop Auckland, County Durham, Durham, Tees Valley	DL14 7NX
25Z0W	Cumbernauld Jobcentre	3 South Murihead Road, Cumbernauld, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G67 1AX
2R1ST2	Malvern Jobcentre	The Library, Graham Road, Malvern, Worcestershire, Mercia	WR14 2HU
1Y5YAQ	Hartlepool Jobcentre	Ward Jackson House, Wesley Square, Hartlepool, County Durham, Durham, Tees Valley	TS24 8EZ
1XSH9V	Staines Jobcentre	62 London Road, Staines, Surrey, Surrey and Sussex	TW18 4HB
1BP05W	Leyland Jobcentre	71 Towngate, Leyland, Preston, Lancashire, Cumbria and Lancashire	PR25 2LR
266T1K	Newhaven Jobcentre	55 High Street, Newhaven, East Sussex, Surrey and Sussex	BN9 9PA
9723F	Newton Abbot Jobcentre	Sherborne House, Kingsteignton Road, Newton Abbot, Devon, Devon and Cornwall	TQ12 2PG
1QDS4G	St Austell Jobcentre	Treleaven House, 17 South Street, St. Austell, Cornwall, Devon and Cornwall	PL25 5TY
4NTHT	Nottingham Station Street Jobcentre	25 Station Street, Nottingham, Nottinghamshire, Nottinghamshire, Lincolnshire and Rutland	NG2 3BZ
4DP10	Billingham Jobcentre	Theatre House, Kingsway, Billingham, Cleveland, Durham, Tees Valley	TS23 2NA
17537G	Carlisle Jobcentre	Broadacre House, 16 - 20 Lowther Street, Carlisle, Cumbria, Cumbria and Lancashire	CA3 8DA
14YWZK	Aberdare Jobcentre	Crown Buildings, Greenbach, Aberdare, Mid Glamorgan, South West Wales	CF44 7HU
25EC0V	Barrow Jobcentre	Craven House, Michaelson Road, Barrow-in-Furness, Cumbria, Cumbria and Lancashire	LA14 1AE
2TCCQ9	Leicester Charles Street Jobcentre	2 Charles Street, Leicester, Leicestershire, Leicestershire and Northamptonshire	LE1 3JD
202F2G	Camberley Jobcentre	185-187 London Road, Camberley, Surrey, Surrey and Sussex	GU15 3JS
2J90YP	Enfield Jobcentre	34 Windmill Hill, Enfield, Middlesex, North London	EN2 7AL
2SG71	Washington Jobcentre	Pennine House, Town Centre, Washington, Tyne and Wear, Tyne & Wear	NE37 1LY
S352S	Kingston Jobcentre	3 Brook Street, Kingston-upon-Thames, Surrey, West London	KT1 2EY
1AXDRM	Chester Jobcentre	Chantry House, 55-59 City Road, Chester, Cheshire, Greater Manchester Central & Cheshire Community	CH1 3AQ
1S3P7H	Worcester Jobcentre	Haswell House, Sansome Street, Worcester, Worcestershire, Mercia	WR1 1UZ
16XT19	Melton Mowbray Jobcentre	Parkside Station Approach, Burton Street, Melton Mowbray, Leicestershire, Leicestershire and Northamptonshire	LE13 1GH
137Y3D	Rawtenstall Jobcentre	Bacup Road, Rawtenstall, Rossendale, Lancashire, Cumbria and Lancashire	BB4 7NH
MMN40	Nottingham Parliament St Jobcentre	The Pearson Buillding, 57-59 Upper Parliament Street, Nottingham, Nottinghamshire, Nottinghamshire, Lincolnshire and Rutland	NG1 6AX
1P2MTE	Mountain Ash Jobcentre	New County Road, Mountain Ash, Mid Glamorgan, South West Wales	CF45 4HU
C7TBW	Hull Market Place Jobcentre	Southchurch Side, Market Place, Hull, East Yorkshire, North East Yorkshire and the Humber	HU1 1RU
1MYA1M	East Ham Jobcentre	473 Barking Road, East Ham, London, East London	E6 2LL
