test	address	name	text	postcode
school-eng:117403	9C3H4EC	Preston Primary School	Back Lane, Preston, Hitchin, Hertfordshire	SG4 7UJ
school-eng:117404	5T8FRA17	Sarratt Church of England Primary School	The Green, Sarratt, Rickmansworth, Hertfordshire	WD3 6AS
school-eng:117405	9B09PAV	Spellbrook Primary School	London Road, Spellbrook, Bishop's Stortford, Hertfordshire	CM23 4BA
school-eng:117406	9B09WFN	Roger De Clare First CofE School	Station Road, Puckeridge, Ware, Hertfordshire	SG11 1TF
school-eng:117407	9B09WH6	St Andrew's Church of England Voluntary Controlled Primary School	Mill Race, Stanstead Abbotts, Ware, Hertfordshire	SG12 8BZ
school-eng:117408	2X6MXADA	Thundridge Church of England Primary School	Ermine Street, Thundridge, Ware, Hertfordshire	SG12 0SY
school-eng:117409	2X6MXA4K	St Mary's Voluntary Controlled Church of England Junior School	Heath Drive, Ware, Hertfordshire	SG12 0RL
school-eng:117410	9B09WT8	St Catherine's Church of England Primary School	Park Road, Ware, Hertfordshire	SG12 0AW
school-eng:117411	2X6MXADK	Musley Infant School	Musley Hill, Ware, Hertfordshire	SG12 7NB
school-eng:117412	9B09XT0	Wareside Church of England Primary School	Reeves Green, Wareside, Ware, Hertfordshire	SG12 7QR
school-eng:117413	9C3H8X2	Weston Primary School	Maiden Street, Weston, Hitchin, Hertfordshire	SG4 7AG
school-eng:117414	5T8JQEX2	Potten End CofE Primary School	Church Road, Potten End, Berkhamsted, Hertfordshire	HP4 2QY
school-eng:117415	4D5QVQ	Dewhurst St Mary CofE Primary School	Churchgate, Cheshunt, Waltham Cross, Hertfordshire	EN8 9ND
school-eng:117416	2X6MV4PH	Leverstock Green Church of England Primary School	Green Lane, Leverstock Green, Hemel Hempstead, Hertfordshire	HP2 4SA
school-eng:117417	9A1STCM	St Paul's Church of England Primary School, Langleybury	Langleybury Lane, Hunton Bridge, Kings Langley, Hertfordshire	WD4 8RJ
school-eng:117418	5T8JQ82D	Nash Mills Church of England Primary School	Belswains Lane, Nash Mills, Hemel Hempstead, Hertfordshire	HP3 9XB
school-eng:117419	2X6MXA42	Albury Church of England Voluntary Aided Primary School	Church End, Albury, Hertfordshire	SG11 2JQ
school-eng:117420	9B1RA8S	Ardeley St Lawrence Church of England Voluntary Aided Primary School	School Lane, Ardeley, Stevenage, Hertfordshire	SG2 7AJ
school-eng:117421	9B09TW7	Aston St Mary's Church of England Aided Primary School	School Lane, Aston, Stevenage, Hertfordshire	SG2 7HA
school-eng:117422	9C3H55T	Barkway VA Church of England First School	High Street, Barkway, Royston, Hertfordshire	SG8 8EF
school-eng:117423	5T8JQ7K1	Victoria Church of England Infant and Nursery School	Prince Edward Street, Berkhamsted, Hertfordshire	HP4 3HA
school-eng:117424	5T8JQGB2	St Mary's CofE Primary School, Northchurch	Northchurch, Berkhamsted, Hertfordshire	HP4 3QZ
school-eng:117425	9B09V4B	St Joseph's Catholic Primary School	Great Hadham Road, Bishop's Stortford, Hertfordshire	CM23 2NL
school-eng:117426	2X6MTKB7	St Michael's Church of England Primary School	Apton Road, Bishop's Stortford, Hertfordshire	CM23 3SN
school-eng:117427	4D55NA	St Clement's Church of England Voluntary Aided Junior School	Cheshunt Wash, Cheshunt, Waltham Cross, Hertfordshire	EN8 0LU
school-eng:117428	4D4TAK	Holy Trinity Church of England Primary School	Longlands Close, Crossbrook Street, Waltham Cross, Hertfordshire	EN8 8LU
school-eng:117429	4D51HB	St Joseph's Catholic Primary School	Royal Avenue, Waltham Cross, Hertfordshire	EN8 7EN
school-eng:117430	9B09VQ6	All Saints Church of England Voluntary Aided Primary School, Datchworth	Hollybush Lane, Datchworth, Knebworth, Hertfordshire	SG3 6RE
school-eng:117431	9B1AHZ8	St Nicholas Elstree Church of England VA Primary School	St Nicholas Close, Elstree, Borehamwood, Hertfordshire	WD6 3EW
school-eng:117432	9B09VQM	St John the Baptist Voluntary Aided Church of England Primary School	Hillside Lane, Great Amwell, Ware, Hertfordshire	SG12 9SE
school-eng:117433	9A2N3ZG	Great Gaddesden Church of England Primary School	Church Meadow, Great Gaddesden, Hemel Hempstead, Hertfordshire	HP1 3BT
school-eng:117434	5T8JAR4F	St Nicholas CofE VA Primary School	Church Green, Harpenden, Hertfordshire	AL5 2TP
school-eng:117435	5T8JHC7Q	St John's Voluntary Aided Church of England Primary School, Lemsford	Lemsford Village, Welwyn Garden City, Hertfordshire	AL8 7TR
school-eng:117436	9B09KVV	St Joseph's Catholic Primary School	North Road, Hertford, Hertfordshire	SG14 2BY
school-eng:117437	4D5AD2	Broxbourne CofE Primary School	Mill Lane, Broxbourne, Hertfordshire	EN10 7AY
school-eng:117438	4D5FRY	St Augustine Roman Catholic Primary School	Riversmead, Hoddesdon, Hertfordshire	EN11 8DP
school-eng:117439	9B1N45D	Hormead Church of England (VA) First School	Great Hormead, Buntingford, Hertfordshire	SG9 0NR
school-eng:117440	2X6MXGZ6	St Ippolyts Church of England Aided Primary School	Ashbrook Lane, Hitchin, Hertfordshire	SG4 7PB
school-eng:117441	2X6MYKF6	St Paul's Church of England Voluntary Aided Primary School, Chipperfield	The Common, Chipperfield, Kings Langley, Hertfordshire	WD4 9BS
school-eng:117442	2X6MXJXW	Norton St Nicholas CofE (VA) Primary School	Norton Road, Letchworth Garden City, Hertfordshire	SG6 1AG
school-eng:117443	2X6MVAPK	Little Gaddesden Church of England Voluntary Aided Primary School	Church Road,  Little Gaddesden, Berkhamsted, Hertfordshire	HP4 1NX
school-eng:117444	9B09WAV	St Andrew's CofE Primary School and Nursery	Tower Hill, Much Hadham, Hertfordshire	SG10 6DL
school-eng:117445	9C3HAY7	Offley Endowed Primary School	School Lane, Offley, Hitchin, Hertfordshire	SG5 3AT
school-eng:117446	9C3H7Z4	Cockernhoe Endowed CofE Primary School	Cockernhoe Green, Luton, Bedfordshire	LU2 8PY
school-eng:117447	5T8FR94D	St Mary's Church of England Primary School, Rickmansworth	Stockers Farm Road, Rickmansworth, Hertfordshire	WD3 1NY
school-eng:117448	2X6MYHQ6	St Peter's Church of England Voluntary Aided Primary School	Church Lane, Mill End, Rickmansworth, Hertfordshire	WD3 8HD
school-eng:117449	5T8JAEJ1	The Abbey Church of England Voluntary Aided Primary School, St Albans	Grove Road, St Albans, Hertfordshire	AL1 1DQ
school-eng:117450	5T8JAH43	St Alban and St Stephen Roman Catholic Infant and Nursery School	Vanda Crescent, St Albans, Hertfordshire	AL1 5EX
school-eng:117451	9A1REK6	St Michael's Church of England Voluntary Aided Primary School, St Albans	St Michael's Street, St Albans, Hertfordshire	AL3 4SJ
school-eng:117452	5T8JAHE1	Park Street Church of England Voluntary Aided Primary School	Branch Road, Park Street, St Albans, Hertfordshire	AL2 2LX
school-eng:117453	9B1RB29	Puller Memorial, Church of England, Voluntary Aided Primary School	High Cross, Ware, Hertfordshire	SG11 1AZ
school-eng:117454	9B09WFA	St Thomas of Canterbury Roman Catholic Primary School	High Street, Puckeridge, Ware, Hertfordshire	SG11 1RZ
school-eng:117456	9C3QNK2	St Nicholas CofE (VA) Primary School and Nursery	Six Hills Way, Stevenage, Hertfordshire	SG2 0PZ
school-eng:117457	2X6MTFVR	Tewin Cowper Church of England Voluntary Aided Primary School	Cannons Meadow, Tewin, Welwyn, Hertfordshire	AL6 0JU
school-eng:117458	2X6MV8D8	Bishop Wood Church of England Junior School, Tring	Frogmore Street, Tring, Hertfordshire	HP23 5AU
school-eng:117459	5T8JQGSM	Long Marston VA Church of England Primary School	Station Road, Long Marston, Tring, Hertfordshire	HP23 4QS
school-eng:117460	5T8JHAGW	St John's CofE Primary School	Hertford Road, Digswell, Welwyn, Hertfordshire	AL6 0BX
school-eng:117461	5T8JHCKE	St Michael's Woolmer Green CofE VA Primary School	London Road, Woolmer Green, Hertfordshire	SG3 6JP
school-eng:117462	2X6MTEJG	St Helen's Church of England Primary School	Brewhouse Hill, Wheathampstead, St Albans, Hertfordshire	AL4 8AN
school-eng:117463	5T8JQEXV	St Bartholomew's Church of England Voluntary Aided Primary School, Wigginton	Common Field, Wigginton, Tring, Hertfordshire	HP23 6EP
school-eng:117464	5T8JHBYW	Our Lady Roman Catholic Primary School	Woodhall Lane, Welwyn Garden City, Hertfordshire	AL7 3TF
school-eng:117465	5T8FR5R8	St Joseph Catholic Primary School	Ainsdale Road, South Oxhey, Watford, Hertfordshire	WD19 7DW
school-eng:117466	9B1AHH8	St Teresa Roman Catholic Primary School	Brook Road, Borehamwood, Hertfordshire	WD6 5HL
school-eng:117467	5T8GM5Z1	St Andrew's Church of England Voluntary Aided Primary School, Hitchin	Benslow Lane, Hitchin, Hertfordshire	SG4 9RD
school-eng:117468	5T8JQ7VV	St Cuthbert Mayne Catholic Junior School	Clover Way, Gadebridge Road, Hemel Hempstead, Hertfordshire	HP1 3EA
school-eng:117469	2X6MTBE4	St Philip Howard Catholic Primary School	Woods Avenue, Hatfield, Hertfordshire	AL10 8NN
school-eng:117470	5T8JAQT5	St Adrian Roman Catholic Primary School	Watling View, St Albans, Hertfordshire	AL1 2PB
school-eng:117471	5T8JQE5F	Saint Albert the Great Catholic Primary School	Acorn Road, Bennetts End, Hemel Hempstead, Hertfordshire	HP3 8DW
school-eng:117472	2X6MTM1E	All Saints Church of England Primary School and Nursery, Bishop's Stortford	Parsonage Lane, Bishop's Stortford, Hertfordshire	CM23 5BE
school-eng:117473	2X6MXAE3	Christ Church CofE (VA) Primary School and Nursery, Ware	New Road, Ware, Hertfordshire	SG12 7BT
school-eng:117474	9C3QNHJ	St Margaret Clitherow Roman Catholic Primary School	Monkswood Lane, (Off Monkswood Way), Stevenage, Hertfordshire	SG2 8QJ
school-eng:117475	5T8FR8CM	St John Catholic Primary School	Berry Lane, Mill End, Rickmansworth, Hertfordshire	WD3 7HG
school-eng:117476	9C3H984	Our Lady Roman Catholic Primary School	Old Hale Way, Hitchin, Hertfordshire	SG5 1XT
school-eng:117477	2X6MXKNC	St Thomas More Roman Catholic Primary School	Highfield, Letchworth Garden City, Hertfordshire	SG6 3QB
school-eng:117478	5T8JAR3X	St Dominic Catholic Primary School	Southdown Road, Harpenden, Hertfordshire	AL5 1PF
school-eng:117479	2X6MVBEF	St Thomas More Roman Catholic Voluntary Aided Primary School	Greenway, Berkhamsted, Hertfordshire	HP4 3LF
school-eng:117480	5T8JAK3D	St John Fisher Roman Catholic Primary School	Hazelmere Road, St Albans, Hertfordshire	AL4 9RW
school-eng:117481	5T8HFFSD	The Holy Family Catholic Primary School	Crookhams, Welwyn Garden City, Hertfordshire	AL7 1PG
school-eng:117482	5T8JH8CZ	Countess Anne Voluntary Aided Church of England Primary School, Hatfield	School Lane, Hatfield, Hertfordshire	AL10 8AX
school-eng:117483	4D5EF8	St Cross Catholic Primary School	Upper Marsh Lane, Hoddesdon, Hertfordshire	EN11 8BN
school-eng:117484	2X6MTS96	St Rose's Catholic Infants School	Green End Road, Boxmoor, Hemel Hempstead, Hertfordshire	HP1 1QW
school-eng:117485	5T8FRBGB	Divine Saviour Roman Catholic Primary School	Broomfield Rise, Abbots Langley, Hertfordshire	WD5 0HW
school-eng:117486	9A95YCZ	Holy Rood Catholic Junior School	Greenbank Road, Watford, Hertfordshire	WD17 4FR
school-eng:117487	9ADX0CA	St John Roman Catholic Primary School	Providence Way, Baldock, Hertfordshire	SG7 6TT
school-eng:117488	9B1AJXK	Sacred Heart Catholic Primary School and Nursery	Merry Hill Road, Bushey, Hertfordshire	WD23 1SU
school-eng:117489	5T8GM26F	Saint Bernadette Catholic Primary School	Walsingham Way, London Colney, St Albans, Hertfordshire	AL2 1NL
school-eng:117490	2X6MTG51	Welwyn St Mary's Church of England Voluntary Aided Primary School	15 London Road, Welwyn, Hertfordshire	AL6 9DJ
school-eng:117491	5T8JAH43	Saint Alban and St Stephen Catholic Junior School	Cecil Road, St Albans, Hertfordshire	AL1 5EG
school-eng:117492	4D4Q8A	St Paul's Catholic Primary School	Park Lane, Cheshunt, Hertfordshire	EN7 6LR
school-eng:117493	9B1AJXK	Sacred Heart Catholic Primary School	Broadmeads, Ware, Hertfordshire	SG12 9HY
school-eng:117494	9A95YCZ	Holy Rood RC Infants' School	Greenbank Road, Watford, Hertfordshire	WD17 4FS
school-eng:117495	5T8FR0DR	St Anthony's Catholic Primary School	Croxley View, Watford, Hertfordshire	WD18 6BW
school-eng:117496	9B1AJKK	Pope Paul Catholic Primary School	Baker Street, Potters Bar, Hertfordshire	EN6 2ES
school-eng:117497	2X6MTHYM	St Mary's Church of England Primary School	Dellsome Lane, North Mymms, Hatfield, Hertfordshire	AL9 7NE
school-eng:117498	9B0E1TM	Saint Vincent de Paul Catholic Primary School	Bedwell Crescent, Stevenage, Hertfordshire	SG1 1NJ
school-eng:117499	9C3H7F5	The Priory School	Bedford Road, Hitchin, Hertfordshire	SG5 2UR
school-eng:117500	5T8JQ7X5	The Hemel Hempstead School	Heath Lane, Hemel Hempstead, Hertfordshire	HP1 1TX
school-eng:117501	9B09VXK	Richard Hale School	Hale Road, Hertford, Hertfordshire	SG13 8EN
school-eng:117502	2X6MXHSD	Hitchin Boys' School	Grammar School Walk, Hitchin, Hertfordshire	SG5 1JB
school-eng:117503	2X6MXHBD	Hitchin Girls' School	Highbury Road, Hitchin, Hertfordshire	SG4 9RS
school-eng:117504	9C3H9D6	Fearnhill School	Icknield Way West, Letchworth, Hertfordshire	SG6 4BA
school-eng:117505	5T8FVP7Q	Verulam School	Brampton Road, St Albans, Hertfordshire	AL1 4PR
school-eng:117506	2X6MXAZE	Presdales School	Hoe Lane, Ware, Hertfordshire	SG12 9NX
school-eng:117507	2X6MTHCA	Stanborough School	Lemsford Lane, Welwyn Garden City, Hertfordshire	AL8 6YR
school-eng:117508	9A1STGM	Langleybury School	Hunton Bridge, Kings Langley, Hertfordshire	WD4 8RW
school-eng:117509	2X6MXN06	The Knights Templar School	Park Street, Baldock, Hertfordshire	SG7 6DZ
school-eng:117510	9B1AHNG	The Hillside School	Hillside Avenue, Borehamwood, Hertfordshire	WD6 1HN
school-eng:117511	2X6MTFDH	Sir John Lawes School	Manland Way, Harpenden, Hertfordshire	AL5 4QP
school-eng:117512	2X6MV4HS	Adeyfield School	Longlands, Hemel Hempstead, Hertfordshire	HP2 4DE
school-eng:117513	9APZDCT	Norton School	Norton Road, Letchworth, Hertfordshire	SG6 1AF
school-eng:117514	2X6MTE5Z	Beaumont School	Oakwood Drive, St Albans, Hertfordshire	AL4 0XB
school-eng:117515	2X6N0357	Barclay School	Walkern Road, Stevenage, Hertfordshire	SG1 3RB
school-eng:117516	9AE03ZN	Hawksmoor School	Cowley Hill, Borehamwood, Hertfordshire	WD6 5LG
school-eng:117517	2X6MXG43	The Heathcote School	Shephall Green, Stevenage, Hertfordshire	SG2 9XT
school-eng:117518	2X6MXG42	Barnwell School	Barnwell, Stevenage, Hertfordshire	SG2 9SW
school-eng:117519	2X6MXBT7	Simon Balle School	Mangrove Road, Hertford, Hertfordshire	SG13 8AJ
school-eng:117520	2X6MTFB6	Roundwood Park School	Roundwood Park, Harpenden, Hertfordshire	AL5 3AE
school-eng:117521	9B1AKC2	Lyndhurst Middle School	Gateshead Road, Borehamwood, Hertfordshire	WD6 4NJ
school-eng:117522	9AQ026H	Francis Combe School and Community College	Horseshoe Lane, Watford, Hertfordshire	WD25 7HW
school-eng:117523	2X6MV9YH	Longdean School	Rumballs Road, Bennetts End, Hemel Hempstead, Hertfordshire	HP3 8JB
school-eng:117524	2X6MTDMM	St Albans Girls' School	Sandridgebury Lane, St Albans, Hertfordshire	AL3 6DB
school-eng:117525	2X6MTGFN	Sir Frederic Osborn School	Herns Lane, Welwyn Garden City, Hertfordshire	AL7 2AF
school-eng:117526	5T8JQHE1	Kings Langley School	Love Lane, Kings Langley, Hertfordshire	WD4 9HN
school-eng:117527	2X6MTBBS	Bishop's Hatfield Girls' School	Woods Avenue, Hatfield, Hertfordshire	AL10 8NL
school-eng:117528	2X6MTSE5	The Cavendish School	Warners End Road, Hemel Hempstead, Hertfordshire	HP1 3DW
school-eng:117529	4D5AAK	The Broxbourne School	High Road, Broxbourne, Hertfordshire	EN10 7DD
school-eng:117530	9C3QPF9	The Nobel School	Mobbsbury Way, Stevenage, Hertfordshire	SG2 0HS
school-eng:117531	4D547M	Turnford School	Mill Lane, Cheshunt, Waltham Cross, Hertfordshire	EN8 0JU
school-eng:117532	2X6MYE5R	Westfield Community Technology College	Tolpits Lane, Watford, Hertfordshire	WD18 6NS
school-eng:117533	9C3QPAP	Collenswood School	Collenswood Road, Stevenage, Hertfordshire	SG2 9HQ
school-eng:117534	9C3QRXM	Marriotts School	Brittain Way, Stevenage, Hertfordshire	SG2 8UT
school-eng:117535	2X6MXCRP	The Sele School	Welwyn Road, Hertford, Hertfordshire	SG14 2DG
school-eng:117536	5T8JH9XV	Monk's Walk School	Knightsfield, Welwyn Garden City, Hertfordshire	AL8 7NL
school-eng:117537	2X6MXKNB	The Highfield School	Highfield, Letchworth Garden City, Hertfordshire	SG6 3QA
school-eng:117538	4D5BSY	Sheredes School	Cock Lane, Hoddesdon, Hertfordshire	EN11 8JY
school-eng:117539	2X6MXNC2	Meridian School	Garden Walk, Royston, Hertfordshire	SG8 7JH
school-eng:117540	2X6MXP1R	Freman College	Bowling Green Lane, Buntingford, Hertfordshire	SG9 9BT
school-eng:117541	5T8JQEGB	Bridgewater Primary School	Bridle Way, Billet Lane, Berkhamsted, Hertfordshire	HP4 1ES
school-eng:117542	2X6MXNC1	The Greneway School	Garden Walk, Royston, Hertfordshire	SG8 7JF
school-eng:117543	9B09WFM	Ralph Sadleir Middle School	Station Road, Puckeridge, Ware, Hertfordshire	SG11 1TF
school-eng:117544	9B1AHM5	Furzehill Middle School	Furzehill Road, Borehamwood, Hertfordshire	WD6 2EF
school-eng:117545	2X6MXNAP	Roysia Middle School	Burns Road, Royston, Hertfordshire	SG8 5EQ
school-eng:117546	2X6MTH64	Sir John Newsom School	Oaken Grove, Welwyn Garden City, Hertfordshire	AL7 4TP
school-eng:117547	2X6MTBBK	Onslow St Audrey's School	Old Rectory Drive, Hatfield, Hertfordshire	AL10 8AB
school-eng:117548	5T8JAHHX	Sandringham School	The Ridgeway, St Albans, Hertfordshire	AL4 9NX
school-eng:117549	9B09QS4	Birchwood High School	Parsonage Lane, Bishop's Stortford, Hertfordshire	CM23 5BD
school-eng:117550	9C3QN4X	The Thomas Alleyne School	High Street, Stevenage, Hertfordshire	SG1 3BE
school-eng:117551	2X6MXAD9	The Chauncy School	Park Road, Ware, Hertfordshire	SG12 0DP
school-eng:117552	2X6MV56T	The Astley Cooper School	St Agnell's Lane, Hemel Hempstead, Hertfordshire	HP2 7HL
school-eng:117553	2X6MV863	Tring School	Mortimer Hill, Tring, Hertfordshire	HP23 5JD
school-eng:117554	2X6MXNXN	Edwinstree Church of England Middle School	Norfolk Road, Buntingford, Hertfordshire	SG9 9AW
school-eng:117555	5T8JAHPF	Townsend CofE School	High Oaks, St Albans, Hertfordshire	AL3 6DR
school-eng:117556	2X6N02Y7	St George's School	Sun Lane, Harpenden, Hertfordshire	AL5 4TD
school-eng:117557	2X6MTSAV	John F Kennedy Catholic School	Hollybush Lane, Hemel Hempstead, Hertfordshire	HP1 2PH
school-eng:117558	2X6MTA14	Loreto College	Hatfield Road, St Albans, Hertfordshire	AL1 3RQ
school-eng:117559	5T8JQHHF	The Thomas Coram Church of England School	Swing Gate Lane, Berkhamsted, Hertfordshire	HP4 2RP
school-eng:117560	2X6MXNF8	St Mary Roman Catholic Primary School	Melbourn Road, Royston, Hertfordshire	SG8 7DB
school-eng:117561	5T8FR9KA	Christ Church Church of England School	The Common, Rickmansworth Road, Chorleywood, Rickmansworth, Hertfordshire	WD3 5SG
school-eng:117562	9B1AHGK	Parkside Community Primary School	Aycliffe Road, Borehamwood, Hertfordshire	WD6 4EP
school-eng:117563	9B09W9Z	Hertingfordbury Cowper Primary School	Birch Green, Hertford, Hertfordshire	SG14 2LR
school-eng:117564	9B1AJ33	St Giles' CofE Primary School	Blanche Lane, South Mimms, Potters Bar, Hertfordshire	EN6 3PE
school-eng:117565	2X6MTNZM	Cuffley School	Theobalds Road, Cuffley, Potters Bar, Hertfordshire	EN6 4HN
school-eng:117566	9B1AJKR	The Wroxham School	Wroxham Gardens, Potters Bar, Hertfordshire	EN6 3DJ
school-eng:117567	5T8JHCF1	Little Heath Primary School	School Road, Potters Bar, Hertfordshire	EN6 1JW
school-eng:117568	9B1AJVM	Little Reddings Primary School	Harcourt Road, Bushey, Hertfordshire	WD23 3PR
school-eng:117569	5T8JH99K	Northaw Church of England Primary School	Vineyards Road, Northaw, Potters Bar, Hertfordshire	EN6 4PB
school-eng:117570	2X6MTJ65	Brookmans Park Primary School	Bradmore Way, Brookmans Park, Hatfield, Hertfordshire	AL9 7QY
school-eng:117571	5T8FR6JX	St Catherine of Siena Catholic Primary School	Horseshoe Lane, Garston, Watford, Hertfordshire	WD25 7HP
school-eng:117572	2X6MYHSM	Rickmansworth School	Scots Hill, Rickmansworth, Hertfordshire	WD3 3AQ
school-eng:117573	5T8FR167	Watford Grammar School for Boys	Rickmansworth Road, Watford, Hertfordshire	WD18 7JF
school-eng:117574	2X6MTAPX	Francis Bacon School	Drakes Drive, St Albans, Hertfordshire	AL1 5AR
school-eng:117575	5T8FR333	Watford Grammar School for Girls	Lady's Close, Watford, Hertfordshire	WD18 0AE
school-eng:117576	2X6MYGZH	Parmiter's School	High Elms Lane, Garston, Watford, Hertfordshire	WD25 0UU
school-eng:117577	2X6MTK6F	The Bishop's Stortford High School	London Road, Bishop's Stortford, Hertfordshire	CM23 3LU
school-eng:117578	5T8GAB7X	Ashlyns School	Chesham Road, Berkhamsted, Hertfordshire	HP4 3AH
school-eng:117579	9B1AJKN	Dame Alice Owen's School	Dugdale Hill Lane, Potters Bar, Hertfordshire	EN6 2DU
school-eng:117580	9B1AK1T	Bushey Meads School	Coldharbour Lane, Bushey, Hertfordshire	WD23 4PA
school-eng:117581	9B1AJXE	Bushey Hall School	London Road, Bushey, Hertfordshire	WD23 3AA
school-eng:117582	9AE04NH	Queens' School	Aldenham Road, Bushey, Hertfordshire	WD23 2TY
school-eng:117583	9AE051S	Mount Grace School	Church Road, Potters Bar, Hertfordshire	EN6 1EZ
school-eng:117584	2X6MTE5Y	Nicholas Breakspear Catholic School	Colney Heath Lane, St Albans, Hertfordshire	AL4 0TT
school-eng:117585	9C3QMQ7	The John Henry Newman Catholic School	Hitchin Road, Stevenage, Hertfordshire	SG1 4AE
school-eng:117586	2X6MT9S6	Marlborough School	Watling Street, St Albans, Hertfordshire	AL1 2QA
school-eng:117587	4D4ME9	Goffs School	Goffs Lane, Cheshunt, Waltham Cross, Hertfordshire	EN7 5QW
school-eng:117588	2X6MTJCP	The Leventhorpe School	Cambridge Road, Sawbridgeworth, Hertfordshire	CM21 9BY
school-eng:117589	5T8FR6GF	Saint Michael's Catholic High School	High Elms Lane, Garston, Watford, Hertfordshire	WD25 0SS
school-eng:117590	2X6MSZSZ	Saint Joan of Arc Catholic School	High Street, Rickmansworth, Hertfordshire	WD3 1HG
school-eng:117591	2X6MTHZS	Chancellor's School	Pine Grove, Brookmans Park, Hatfield, Hertfordshire	AL9 7BN
school-eng:117592	2X6MZTDB	The Hertfordshire & Essex High School and Science College	Warwick Road, Bishop's Stortford, Hertfordshire	CM23 5NJ
school-eng:117593	2X6MYJWD	St Clement Danes School	Chenies Road, Chorleywood, Rickmansworth, Hertfordshire	WD3 6EW
school-eng:117594	2X6MTJQC	St Mary's Catholic School	Windhill, Bishop's Stortford, Hertfordshire	CM23 2NQ
school-eng:117595	4D5Z7N	St Mary's Church of England High School (VA)	Lieutenant Ellis Way, Cheshunt, Waltham Cross, Hertfordshire	EN7 5FB
school-eng:117596	4D4TEG	Cheshunt School	College Road, Cheshunt, Waltham Cross, Hertfordshire	EN8 9LY
school-eng:117597	4D5J74	The John Warner School	Stanstead Road, Hoddesdon, Hertfordshire	EN11 0QF
school-eng:117598	9B09QK4	Hockerill Anglo-European College	Dunmow Road, Bishop's Stortford, Hertfordshire	CM23 5HX
school-eng:117599	9AE03ZM	Holmshill School	Thrift Farm Lane, Shenley Road, Borehamwood, Hertfordshire	WD6 1TS
school-eng:117600	2X6MZSBC	Abbot's Hill School	Bunkers Lane, Hemel Hempstead, Hertfordshire	HP3 8RP
school-eng:117601	9AD5D5B	Edge Grove School	High Cross, Aldenham, Watford, Hertfordshire	WD25 8NL
school-eng:117602	9B1AK1W	The Aldenham Foundation	Elstree, Borehamwood, Hertfordshire	WD6 3AJ
school-eng:117603	2X6MVB5T	Berkhamsted School for Girls	Kings Road, Berkhamsted, Hertfordshire	HP4 3BG
school-eng:117604	9A2N5H3	Berkhamsted School	Overton House, 133 High Street, Berkhamsted, Hertfordshire	HP4 2DJ
school-eng:117605	2X6MZT6T	Bishop's Stortford College	10 Maze Green Road, Bishop's Stortford, Hertfordshire	CM23 2PJ
school-eng:117606	9B1AJXQ	St Margaret's School	Merry Hill Road, Bushey, Hertfordshire	WD23 1DT
school-eng:117607	9B0A2RT	Haileybury and Imperial Service College	, Hertford, Hertfordshire	SG13 7NU
school-eng:117608	2X6MTEZM	Aldwickbury School	Wheathampstead Road, Harpenden, Hertfordshire	AL5 1AD
school-eng:117609	2X6MTHW3	Queenswood School	Shepherd's Way, Brookmans Park, Hatfield, Hertfordshire	AL9 6NS
school-eng:117610	5T8FVQ4M	Westbrook Hay Prep School	London Road, Hemel Hempstead, Hertfordshire	HP1 2RF
school-eng:117611	2X6MTRZW	Lockers Park School	Lockers Park Lane, Hemel Hempstead, Hertfordshire	HP1 1TL
school-eng:117612	2X6MSN3M	St Christopher School	Barrington Road, Letchworth Garden City, Hertfordshire	SG6 3JZ
school-eng:117613	2X6MXKN9	St Francis College	Broadway, Letchworth Garden City, Hertfordshire	SG6 3PJ
school-eng:117614	9C3HAE9	Princess Helena College	Preston, Hitchin, Hertfordshire	SG4 7RT
school-eng:117615	9AD5AX0	Radlett Preparatory School	Kendal Hall, Watling Street, Radlett, Hertfordshire	WD7 7LY
school-eng:117616	5T8FRA72	Merchant Taylors' School	Sandy Lodge, Northwood, 	HA6 2HT
school-eng:117617	2X6MTA18	St Albans High School for Girls	1-3 Townsend Avenue, St Albans, Hertfordshire	AL1 3SJ
school-eng:117618	5T8JQE17	Tring Park School for the Performing Arts	Tring Park, Tring, Hertfordshire	HP23 5LX
school-eng:117619	5T8FR0HC	Northfield School	Church Road, Watford, Hertfordshire	WD17 4QB
school-eng:117620	5T8JQ7WB	Beechwood Park School	Markyate, St Albans, Hertfordshire	AL3 8AW
school-eng:117621	9B09XVA	Heath Mount School	Woodhall Park, Watton At Stone, Hertford, Hertfordshire	SG14 3NG
school-eng:117622	5T8JHE7M	Sherrardswood School	Lockleys, Welwyn, Hertfordshire	AL6 0BJ
school-eng:117623	2X6MVBCY	Egerton-Rothesay School	Durrants Lane, Berkhamsted, Hertfordshire	HP4 3UJ
school-eng:117624	9B1AJV4	St Hilda's School	High Street, Bushey, Hertfordshire	WD23 3DA
school-eng:117625	9B1AK06	Westwood School	6 Hartsbourne Road, Bushey Heath, Bushey, Hertfordshire	WD23 1JH
school-eng:117626	2X6MTF8X	Harpenden Preparatory School	53 Luton Road, Harpenden, Hertfordshire	AL5 2UE
school-eng:117627	9B1AJV4	St Hilda's School	28 Douglas Road, Harpenden, Hertfordshire	AL5 2ES
school-eng:117628	9B09W8M	Duncombe School	4 Warren Park Road, Bengeo, Hertford, Hertfordshire	SG14 3JA
school-eng:117629	9B1N3RZ	St Joseph's in the Park	St Mary's Lane, Hertingfordbury, Hertford, Hertfordshire	SG14 2LX
