test	address	name	text	postcode
school-eng:117235	5T8JAQT4	How Wood Primary and Nursery School	Spooners Drive, Park Street, St Albans, Hertfordshire	AL2 2HU
school-eng:117236	9AQQSA1	Redbourn Infants' and Nursery School	Long Cutt, Redbourn, St Albans, Hertfordshire	AL3 7EX
school-eng:117237	9C3QPF8	Lodge Farm Junior Mixed School	Mobbsbury Way, Chells, Stevenage, Hertfordshire	SG2 0HP
school-eng:117238	9C3QPF8	Lodge Farm Infants' School	Mobbsbury Way, Chells, Stevenage, Hertfordshire	SG2 0HR
school-eng:117239	2X6MTSE6	Rossgate Primary School	Galley Hill, Hemel Hempstead, Hertfordshire	HP1 3JY
school-eng:117240	2X6MTEVX	Skyswood Primary & Nursery School	Chandlers Road, St Albans, Hertfordshire	AL4 9RS
school-eng:117241	2X6MTSDA	Martindale Primary and Nursery School	Boxted Road, Warners End, Hemel Hempstead, Hertfordshire	HP1 2QS
school-eng:117242	9B1AK1Q	Bushey Manor Junior School	Grange Road, Bushey, Hertfordshire	WD23 2QL
school-eng:117243	4D4RPT	Goffs Oak Primary & Nursery School	Millcrest Road, Goffs Oak, Waltham Cross, Hertfordshire	EN7 5NS
school-eng:117244	9B09V9Y	Summercroft Junior School	Parsonage Lane, Bishop's Stortford, Hertfordshire	CM23 5BJ
school-eng:117245	5T8FRA25	Eastbury Farm Primary School	Bishops Avenue, Northwood, Hertfordshire	HA6 3DG
school-eng:117246	9C3QNZ0	Burydale Junior School	Burydale, Stevenage, Hertfordshire	SG2 8AX
school-eng:117247	5T8FDGVQ	Shephall Green Infant and Nursery School	Shephall Green, Stevenage, Hertfordshire	SG2 9XS
school-eng:117248	5T8FR7WQ	Bedmond Village Primary and Nursery School	Meadow Way, Bedmond, Abbots Langley, Hertfordshire	WD5 0RD
school-eng:117249	2X6MZ9HS	Gade Valley Junior Mixed Infant and Nursery School	Gadebridge Road, Hemel Hempstead, Hertfordshire	HP1 3DT
school-eng:117250	5T8JAKE5	Cunningham Hill Junior School	Cell Barnes Lane, St Albans, Hertfordshire	AL1 5QJ
school-eng:117251	9C3QNNT	Pin Green Primary School and Nursery	Lonsdale Road, Stevenage, Hertfordshire	SG1 5DQ
school-eng:117252	5T8JHBMF	Homerswood Primary and Nursery School	Kirklands, Welwyn Garden City, Hertfordshire	AL8 7RF
school-eng:117253	2X6MXHN9	Whitehill Junior School	Whitehill Road, Hitchin, Hertfordshire	SG4 9HT
school-eng:117254	5T8JQF0C	Westfield Primary School and Nursery	Durrants Lane, Berkhamsted, Hertfordshire	HP4 3PJ
school-eng:117255	4D50X6	Downfield Primary School	Downfield Road, Cheshunt, Waltham Cross, Hertfordshire	EN8 8SS
school-eng:117256	2X6MTSD7	Pixies Hill Primary School	Hazeldell Road, Hemel Hempstead, Hertfordshire	HP1 2BY
school-eng:117257	2X6MTGAS	Rowans Primary School	Rowans, Welwyn Garden City, Hertfordshire	AL7 1NZ
school-eng:117258	2X6MTEXS	The Grove Junior School	Dark Lane, Harpenden, Hertfordshire	AL5 1QB
school-eng:117259	2X6MXJY8	Pixmore Junior School	Rushby Mead, Letchworth, Hertfordshire	SG6 1RS
school-eng:117260	2X6MVB3M	Swing Gate Infant School and Nursery	Swing Gate Lane, Berkhamsted, Hertfordshire	HP4 2LJ
school-eng:117261	2X6MTFVS	Oaklands Primary School	Great North Road, Oaklands, Welwyn, Hertfordshire	AL6 0PX
school-eng:117262	4D4PHY	Flamstead End Infant and Nursery School	Longfield Lane, Cheshunt, Waltham Cross, Hertfordshire	EN7 6AG
school-eng:117263	9B09VVZ	Hollybush Primary School	Fordwich Rise, Hertford, Hertfordshire	SG14 2DF
school-eng:117264	5T8GM5Z3	Oughtonhead Junior School	Mattocke Road, Hitchin, Hertfordshire	SG5 2NZ
school-eng:117265	5T8GM5Z3	Oughtonhead Infants' School	Mattocke Road, Hitchin, Hertfordshire	SG5 2NZ
school-eng:117266	5T8FR8QR	Maple Cross Junior Mixed Infant and Nursery School	Denham Way, Maple Cross, Rickmansworth, Hertfordshire	WD3 9SS
school-eng:117267	5T8JAQST	Killigrew Infant and Nursery School	West Avenue, St Albans, Hertfordshire	AL2 3HD
school-eng:117268	9AQQQ70	Wheatfields Infants' and Nursery School	Downes Road, St Albans, Hertfordshire	AL4 9NT
school-eng:117269	9C3QP1W	Moss Bury Primary School and Nursery	Webb Rise, Stevenage, Hertfordshire	SG1 5PA
school-eng:117270	4D5C6Q	Westfield Community Primary School	Westfield Road, Hoddesdon, Hertfordshire	EN11 8RA
school-eng:117271	2X6MXAJ9	Priors Wood Primary School	Cozens Road, Ware, Hertfordshire	SG12 7HZ
school-eng:117272	4D5THA	Brookland Infant and Nursery School	Elm Drive, Cheshunt, Waltham Cross, Hertfordshire	EN8 0RX
school-eng:117273	9B09V9Y	Summercroft Infant and Nursery School	Plaw Hatch Close, Bishop's Stortford, Hertfordshire	CM23 5BJ
school-eng:117274	5T8JQEW6	Goldfield Infants' and Nursery School	Christchurch Road, Tring, Hertfordshire	HP23 4EE
school-eng:117275	9B09WW3	Tower Primary School	Tower Road, Ware, Hertfordshire	SG12 7LP
school-eng:117276	2X6MVBEG	Greenway Primary and Nursery School	Crossways, Berkhamsted, Hertfordshire	HP4 3NH
school-eng:117277	2X6MTM1G	Thorn Grove Primary School	Thorn Grove, Bishop's Stortford, Hertfordshire	CM23 5LD
school-eng:117278	2X6MXNF3	Icknield Walk First School	Poplar Drive, Royston, Hertfordshire	SG8 7EZ
school-eng:117279	9AQQSA0	Cunningham Hill Infant School	Cell Barnes Lane, St Albans, Hertfordshire	AL1 5QJ
school-eng:117280	9B09WC0	Reedings Junior School	Bullfields, Sawbridgeworth, Hertfordshire	CM21 9DD
school-eng:117281	2X6MTF03	The Grove Infant and Nursery School	Dark Lane, Harpenden, Hertfordshire	AL5 1QD
school-eng:117282	5T8JQEQF	The Hammond Primary School	Cambrian Way, Hemel Hempstead, Hertfordshire	HP2 5TD
school-eng:117283	5T8JQEXY	Kings Langley Primary School	Common Lane, Kings Langley, Hertfordshire	WD4 8DQ
school-eng:117284	4D5JF9	Forres Primary School	Stanstead Road, Hoddesdon, Hertfordshire	EN11 0RW
school-eng:117285	2X6MX9VD	Martins Wood Primary School	Mildmay Road, Stevenage, Hertfordshire	SG1 5RT
school-eng:117286	2X6MZ9Y6	Dundale Primary School and Nursery	Silk Mill Way, Tring, Hertfordshire	HP23 5DJ
school-eng:117287	2X6MTFQN	Crabtree Junior School	Crabtree Lane, Harpenden, Hertfordshire	AL5 5PU
school-eng:117288	2X6MTDTD	Redbourn Junior School	Long Cutt, Redbourn, St Albans, Hertfordshire	AL3 7EX
school-eng:117289	5T8FR8CN	Arnett Hills Junior Mixed and Infant School	Berry Lane, Rickmansworth, Hertfordshire	WD3 4BT
school-eng:117290	5T8FR0E4	Holywell Primary School	Tolpits Lane, Watford, Hertfordshire	WD18 6LL
school-eng:117291	2X6MTKCB	The Firs Junior School	Scott Road, Bishop's Stortford, Hertfordshire	CM23 3QJ
school-eng:117292	9C3QNTR	Trotts Hill Primary and Nursery School	Wisden Road, Stevenage, Hertfordshire	SG1 5JD
school-eng:117293	9CPSB9K	Cassiobury Infant and Nursery School	Bellmount Wood Avenue, Watford, Hertfordshire	WD17 3PE
school-eng:117294	2X6MTGAT	Panshanger Primary School	Daniells, Welwyn Garden City, Hertfordshire	AL7 1QY
school-eng:117295	2X6MZ9CG	Bovingdon Infants' School	St Lawrence Close, Bovingdon, Hemel Hempstead, Hertfordshire	HP3 0LS
school-eng:117296	9B1AJVS	Bournehall Primary School	Bournehall Avenue, Bushey, Hertfordshire	WD23 3AX
school-eng:117297	9B09W4W	Mill Mead Primary School	Port Vale, Hertford, Hertfordshire	SG14 3AA
school-eng:117298	5T8JAQW1	Maple Primary School	Hall Place Gardens, St Albans, Hertfordshire	AL1 3SW
school-eng:117299	9APZHJM	Round Diamond Primary School	Whitehorse Lane, Great Ashby Way, Stevenage, Hertfordshire	SG1 6NH
school-eng:117300	9B1AK05	Hartsbourne Primary School	Hartsbourne Road, Bushey, Hertfordshire	WD23 1SJ
school-eng:117301	5T8JAR6K	Beech Hyde Primary School and Nursery	Nurseries Road, Wheathampstead, St Albans, Hertfordshire	AL4 8TP
school-eng:117302	4D4Q89	Andrews Lane Primary School	Andrews Lane, Cheshunt, Waltham Cross, Hertfordshire	EN7 6LB
school-eng:117303	9B1AHFF	Newberries Primary School	Newberries Avenue, Radlett, Hertfordshire	WD7 7EL
school-eng:117304	5T8FR92K	Rickmansworth Park Junior Mixed and Infant School	Park Road, Rickmansworth, Hertfordshire	WD3 1HU
school-eng:117305	2X6MT9TB	Mandeville Primary School	West Road, Sawbridgeworth, Hertfordshire	CM21 0BL
school-eng:117306	5T8FDH1E	Giles Junior School	Durham Road, Stevenage, Hertfordshire	SG1 4JQ
school-eng:117307	4D5MF5	The Cranbourne Primary School	Bridleway North, Hoddesdon, Hertfordshire	EN11 9PP
school-eng:117308	2X6MYCN6	Bromet Primary School	Oxhey Road, Watford, Hertfordshire	WD19 4SG
school-eng:117309	2X6MXNXS	Millfield First and Nursery School	Monks Walk, Buntingford, Hertfordshire	SG9 9DT
school-eng:117310	9B09Q1V	Hillmead Primary School	Woburn Avenue, Bishop's Stortford, Hertfordshire	CM23 4PW
school-eng:117311	5T8FR16E	Nascot Wood Junior School	Nascot Wood Road, Watford, Hertfordshire	WD17 4YS
school-eng:117312	2X6MTFQ9	Crabtree Infants' School	Crabtree Lane, Harpenden, Hertfordshire	AL5 5PU
school-eng:117313	5T8JHC95	The Ryde School	Pleasant Rise, Hatfield, Hertfordshire	AL9 5DR
school-eng:117314	5T8GM5Z0	William Ransom Primary School	Stuart Drive, Hitchin, Hertfordshire	SG4 9QB
school-eng:117315	2X6MTD7F	Prae Wood Primary School	King Harry Lane, St Albans, Hertfordshire	AL3 4HZ
school-eng:117316	9C3QP5S	The Giles Infant and Nursery School	Durham Road, Stevenage, Hertfordshire	SG1 4JQ
school-eng:117317	5T8FR163	Kingsway Infants' School	North Approach, Watford, Hertfordshire	WD25 0ES
school-eng:117318	2X6MYGZD	Alban Wood Infant and Nursery School	The Brow, Garston, Watford, Hertfordshire	WD25 7NX
school-eng:117319	5T8HG06K	Kingshill Infant School	Heath Drive, Ware, Hertfordshire	SG12 0RL
school-eng:117320	5T8FR3MT	Laurance Haines School	Vicarage Road, Watford, Hertfordshire	WD18 0DD
school-eng:117321	4D4KHF	Woodside Primary School	Jones Road, Goffs Oak, Cheshunt, Waltham Cross, Hertfordshire	EN7 5JS
school-eng:117322	9C3QMJX	Woolenwick Junior School	Bridge Road West, Stevenage, Hertfordshire	SG1 2NU
school-eng:117323	5T8FDH83	Woolenwick Infant and Nursery School	Bridge Road West, Stevenage, Hertfordshire	SG1 2NU
school-eng:117324	2X6MYGZE	Leavesden JMI School	High Road, Leavesden, Watford, Hertfordshire	WD25 7QZ
school-eng:117325	5T8JHB1W	Springmead Primary School	Hillyfields, Welwyn Garden City, Hertfordshire	AL7 2HB
school-eng:117326	4D56ZK	Longlands Primary School and Nursery	Nunsbury Drive, Turnford, Broxbourne, Hertfordshire	EN10 6AG
school-eng:117327	5T8JAMXC	The Lea Primary School and Nursery	Moorland Road, Harpenden, Hertfordshire	AL5 4LE
school-eng:117328	2X6MXBM8	Wheatcroft Primary School	Stanstead Road, Hertford, Hertfordshire	SG13 7HQ
school-eng:117329	5T8GM5YW	Mary Exton Primary School	St Michael's Road, Hitchin, Hertfordshire	SG4 0QA
school-eng:117330	9C3H4EB	Lordship Farm Primary School	Fouracres, Letchworth Garden City, Hertfordshire	SG6 3UF
school-eng:117331	2X6MXNSX	Studlands Rise First School	Studlands Rise, Royston, Hertfordshire	SG8 9HB
school-eng:117332	2X6MXNAN	Roman Way First School	Burns Road, Royston, Hertfordshire	SG8 5EQ
school-eng:117333	2X6MVAGM	Lime Walk Primary School	Lime Walk, Bennetts End, Hemel Hempstead, Hertfordshire	HP3 9LN
school-eng:117334	4D4Q88	Fairfields Primary School and Nursery	Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire	EN7 6JG
school-eng:117335	2X6MV52E	Aycliffe Drive Primary School	Aycliffe Drive, Hemel Hempstead, Hertfordshire	HP2 6LJ
school-eng:117336	2X6MV5B1	Holtsmere End Junior School	Shenley Road, Hemel Hempstead, Hertfordshire	HP2 7JZ
school-eng:117337	9ADWWZ9	Samuel Lucas Junior Mixed and Infant School	Gaping Lane, Hitchin, Hertfordshire	SG5 2JQ
school-eng:117338	4D5CE2	Roselands Primary School	High Wood Road, Hoddesdon, Hertfordshire	EN11 9AR
school-eng:117339	5T8FR0ZN	Cherry Tree Primary School	Berry Avenue, Watford, Hertfordshire	WD24 6ST
school-eng:117340	9A2MY90	Coates Way JMI and Nursery School	Coates Way, Garston, Watford, Hertfordshire	WD25 9NW
school-eng:117341	2X6MV8D9	Grove Road Primary School	Grove Road, Tring, Hertfordshire	HP23 5PD
school-eng:117342	5T8JAR5S	High Beeches Primary School	Aldwickbury Crescent, Harpenden, Hertfordshire	AL5 5SD
school-eng:117343	5T8JQH12	Barncroft Primary School	Washington Avenue, Grove Hill West, Hemel Hempstead, Hertfordshire	HP2 6NG
school-eng:117344	2X6MV4WB	Jupiter Drive Junior Mixed and Infant School	Jupiter Drive, Hemel Hempstead, Hertfordshire	HP2 5NT
school-eng:117345	2X6MXMC2	Stonehill School	Western Close, Letchworth Garden City, Hertfordshire	SG6 4SZ
school-eng:117346	2X6MTKGY	Richard Whittington Primary School	Thornbera Gardens, Bishop's Stortford, Hertfordshire	CM23 3NP
school-eng:117347	5T8JAMHS	Mount Pleasant Lane Junior Mixed and Infant School and Nursery	Mount Pleasant Lane, Bricket Wood, St Albans, Hertfordshire	AL2 3XA
school-eng:117348	2X6MTGVX	Watchlytes Junior Mixed Infant and Nursery School	Watchlytes, Welwyn Garden City, Hertfordshire	AL7 2AZ
school-eng:117349	9A2N4RC	Brockswood Primary School	Shenley Road, Woodhall Farm, Hemel Hempstead, Hertfordshire	HP2 7QH
school-eng:117350	9C3H64A	Lannock Primary School	Whiteway, Letchworth Garden City, Hertfordshire	SG6 2PP
school-eng:117351	4D5QYQ	Ryelands Primary School	Essex Road, Hoddesdon, Hertfordshire	EN11 0AA
school-eng:117352	9C3QPDM	Ashtree Primary School and Nursery	Chertsey Rise, Stevenage, Hertfordshire	SG2 9JQ
school-eng:117353	4D5BFS	Sheredes Primary School	Benford Road, Hoddesdon, Hertfordshire	EN11 8LL
school-eng:117354	2X6MXKK5	Radburn Primary School	Radburn Way, Letchworth Garden City, Hertfordshire	SG6 2JZ
school-eng:117355	2X6MTHMA	Applecroft School	Applecroft Road, Welwyn Garden City, Hertfordshire	AL8 6JZ
school-eng:117356	4D59VX	Ley Park Primary School	Cozens Lane East, Broxbourne, Hertfordshire	EN10 6QA
school-eng:117357	2X6MTBF0	Five Oaks Primary and Nursery School	Travellers Lane, Hatfield, Hertfordshire	AL10 8TQ
school-eng:117358	2X6MTFBZ	Wood End School	Yeomans Avenue, Harpenden, Hertfordshire	AL5 3EF
school-eng:117359	2X6MV58T	Eastbrook Primary School	St Agnell's Lane, Grove Hill, Hemel Hempstead, Hertfordshire	HP2 7BG
school-eng:117360	5T8FR15X	Meriden Primary School	Harvest End, Watford, Hertfordshire	WD25 9UA
school-eng:117361	9B09W62	Bengeo Primary School	The Avenue, Bengeo, Hertford, Hertfordshire	SG14 3DX
school-eng:117362	5T8JHCD2	Stream Woods Junior Mixed Infant and Nursery School	Woods Avenue, Hatfield, Hertfordshire	AL10 8NW
school-eng:117363	9B09KZQ	Morgans Primary School & Nursery	Morgans Road, Hertford, Hertfordshire	SG13 8DR
school-eng:117364	2X6MX9R5	The Leys Primary and Nursery School	Ripon Road, Stevenage, Hertfordshire	SG1 4QZ
school-eng:117365	2X6MVAEA	Belswains Primary School	Barnfield, Hemel Hempstead, Hertfordshire	HP3 9QJ
school-eng:117366	4D4MDG	Bonneygrove Primary School	Dark Lane, Cheshunt, Waltham Cross, Hertfordshire	EN7 5ED
school-eng:117367	4D4WFP	Burleigh Primary School	Blindmans Lane, Cheshunt, Waltham Cross, Hertfordshire	EN8 9DP
school-eng:117368	2X6MVA3W	Hobbs Hill Wood Primary School	Peascroft Road, Hemel Hempstead, Hertfordshire	HP3 8ER
school-eng:117369	9AE03PB	Cranborne Primary School	Laurel Fields, Potters Bar, Hertfordshire	EN6 2BA
school-eng:117370	9B1AKBC	Ladbrooke Junior Mixed and Infant School	Watkins Rise, Potters Bar, Hertfordshire	EN6 1QB
school-eng:117371	9B1AJKB	Oakmere Primary School	Chace Avenue, Potters Bar, Hertfordshire	EN6 5NP
school-eng:117372	9AE03NR	Sunny Bank Junior School	Field View Road, Potters Bar, Hertfordshire	EN6 2NA
school-eng:117373	9AE03NR	Sunny Bank Infants' School	Field View Road, Potters Bar, Hertfordshire	EN6 2NA
school-eng:117374	5T8FR0J2	Nascot Wood Infant and Nursery School	Nascot Wood Road, Watford, Hertfordshire	WD17 4YT
school-eng:117375	2X6MXBM9	The Pines Junior Mixed and Infant School	Divot Place, Hertford, Hertfordshire	SG13 7SP
school-eng:117376	9C3H4K7	Hartsfield Junior Mixed and Infant School	Clothall Road, Baldock, Hertfordshire	SG7 6PB
school-eng:117377	2X6MV5B2	Holtsmere End Infant and Nursery School	Shenley Road, Hemel Hempstead, Hertfordshire	HP2 7JZ
school-eng:117378	2X6MTH6E	Commonswood Primary & Nursery School	The Commons, Welwyn Garden City, Hertfordshire	AL7 4RU
school-eng:117379	4D4TB6	Millbrook School	Gews Corner, Cheshunt, Waltham Cross, Hertfordshire	EN8 9BX
school-eng:117380	2X6MTKPQ	Manor Fields Primary School	Penningtons, Bishop's Stortford, Hertfordshire	CM23 4LE
school-eng:117381	5T8JQF4Y	Bellgate Primary School	Fletcher Way, Highfield, Hemel Hempstead, Hertfordshire	HP2 5QR
school-eng:117382	2X6MV8DA	Aldbury Church of England Primary School	Stocks Road, Aldbury, Tring, Hertfordshire	HP23 5RT
school-eng:117383	9B1AHEP	St John's Church of England Infant and Nursery School	Gills Hill Lane, Radlett, Hertfordshire	WD7 8DD
school-eng:117384	9APZMWE	St Mary's Infants' School	St Mary's Way, Baldock, Hertfordshire	SG7 6HY
school-eng:117385	2X6MXMZZ	St Mary's Junior Mixed School	St Mary's Way, Baldock, Hertfordshire	SG7 6HY
school-eng:117386	2X6MXNGE	Barley Church of England Voluntary Controlled First School	Church End, Barley, Royston, Hertfordshire	SG8 8JW
school-eng:117387	2X6MXBTA	Bayford Church of England Voluntary Controlled Primary School	Ashendene Road, Bayford, Hertford, Hertfordshire	SG13 8PX
school-eng:117388	2X6MXAD5	Tonwell St Mary's Church of England Primary School	Ware Road, Tonwell, Ware, Hertfordshire	SG12 0HN
school-eng:117389	9B09TXM	Benington Church of England Primary School	Benington, Stevenage, Hertfordshire	SG2 7LP
school-eng:117390	9B09N7S	Layston Church of England First School	The Causeway, Buntingford, Hertfordshire	SG9 9EU
school-eng:117391	9B1AJY4	Ashfield Junior School	School Lane, Bushey, Hertfordshire	WD23 1SR
school-eng:117392	2X6MXHA4	Codicote Church of England Primary School	Meadow Way, Codicote, Hitchin, Hertfordshire	SG4 8YL
school-eng:117393	2X6MTHWN	Essendon CofE (VC) Primary School	School Lane, Essendon, Hertfordshire	AL9 6HD
school-eng:117394	9B1RA9H	Furneux Pelham Church of England School	Furneux Pelham, Buntingford, Hertfordshire	SG9 0LH
school-eng:117395	2X6MXGZ5	Graveley Primary School	Ashwell Common, Graveley, Hitchin, Hertfordshire	SG4 7LJ
school-eng:117396	2X6MXBT5	Ponsbourne St Mary's Church of England Primary School	Newgate Street Village, Hertford, Hertfordshire	SG13 8RA
school-eng:117397	9B09VSP	Hertford St Andrew CofE Primary School	Calton Avenue, Hertford, Hertfordshire	SG14 2EP
school-eng:117398	9B1RA9Z	High Wych Church of England Primary School	High Wych, Sawbridgeworth, Hertfordshire	CM21 0JB
school-eng:117399	4D5EGC	St Paul's Voluntary Controlled Church of England Infants' School	Haslewood Avenue, Hoddesdon, Hertfordshire	EN11 8HT
school-eng:117400	4D59VX	Wormley Primary School	Cozens Lane East, Wormley, Broxbourne, Hertfordshire	EN10 6QA
school-eng:117401	9C3H9EJ	Ickleford Primary School	Arlesey Road, Ickleford, Hitchin, Hertfordshire	SG5 3TG
school-eng:117402	9B1N3BC	Little Munden Church of England Voluntary Controlled Primary School	Church Lane, Dane End, Ware, Hertfordshire	SG12 0NR
